id,league,year,year_id,Batting Average,On-Base Percentage,Slugging Percentage,Statistic,Statistic Value,TB,Team,Total At Bats,Total Caught Stealings,Total Doubles,Total Games,Total Hits,Total Home Runs,Total Runs,Total Runs Batted In,Total Stolen Bases,Total Strikeouts,Total Triples,Total Walks
1900,National League,1979,3,,,,Doubles,279,,St. Louis,,,,,,,,,,,,
1901,National League,1979,4,,,,Hits,"1,594",,St. Louis,,,,,,,,,,,,
1902,National League,1979,5,,,,Home Runs,183,,Los Angeles,,,,,,,,,,,,
1903,National League,1979,6,,,,On Base Percentage,.343,,Philadelphia,,,,,,,,,,,,
1904,National League,1979,7,,,,Runs,775,,Pittsburgh,,,,,,,,,,,,
1905,National League,1979,8,,,,Slugging Average,.416,,Pittsburgh,,,,,,,,,,,,
1906,National League,1980,1,,,,Base on Balls,563,,San Diego,,,,,,,,,,,,
1907,National League,1980,2,,,,Batting Average,.275,,St. Louis,,,,,,,,,,,,
1908,National League,1980,3,,,,Doubles,300,,St. Louis,,,,,,,,,,,,
1909,National League,1980,4,,,,Hits,"1,541",,St. Louis,,,,,,,,,,,,
1910,National League,1980,5,,,,Home Runs,148,,Los Angeles,,,,,,,,,,,,
1911,National League,1980,6,,,,On Base Percentage,.331,,St. Louis,,,,,,,,,,,,
1912,National League,1980,7,,,,Runs,738,,St. Louis,,,,,,,,,,,,
1913,National League,1980,8,,,,Slugging Average,.400,,St. Louis,,,,,,,,,,,,
1914,National League,1981,1,,,,Base on Balls,386,,San Francisco,,,,,,,,,,,,
1915,National League,1981,2,,,,Batting Average,.273,,Philadelphia,,,,,,,,,,,,
1916,National League,1981,3,,,,Doubles,190,,Cincinnati,,,,,,,,,,,,
1917,National League,1981,4,,,,Hits,"1,002",,Philadelphia,,,,,,,,,,,,
1918,National League,1981,5,,,,Home Runs,82,,Los Angeles,,,,,,,,,,,,
1919,National League,1981,6,,,,On Base Percentage,.344,,Philadelphia,,,,,,,,,,,,
1920,National League,1981,7,,,,Runs,491,,Philadelphia,,,,,,,,,,,,
1921,National League,1981,8,,,,Slugging Average,.389,,Philadelphia,,,,,,,,,,,,
1922,National League,1982,1,,,,Base on Balls,607,,San Francisco,,,,,,,,,,,,
1923,National League,1982,2,,,,Batting Average,.273,,Pittsburgh,,,,,,,,,,,,
1924,National League,1982,3,,,,Doubles,272,,Pittsburgh,,,,,,,,,,,,
1925,National League,1982,4,,,,Hits,"1,535",,Pittsburgh,,,,,,,,,,,,
1926,National League,1982,5,,,,Home Runs,146,,Atlanta,,,,,,,,,,,,
1927,National League,1982,6,,,,On Base Percentage,.337,,St. Louis,,,,,,,,,,,,
1928,National League,1982,7,,,,Runs,739,,Atlanta,,,,,,,,,,,,
1929,National League,1982,8,,,,Slugging Average,.408,,Pittsburgh,,,,,,,,,,,,
1930,National League,1982,9,,,,Stolen Bases,200,,St. Louis,,,,,,,,,,,,
1931,National League,1982,10,,,,Triples,52,,St. Louis,,,,,,,,,,,,
1932,National League,1982,11,,,,Triples,52,,San Diego,,,,,,,,,,,,
1933,National League,1983,1,,,,Base on Balls,640,,Philadelphia,,,,,,,,,,,,
1934,National League,1983,2,,,,Batting Average,.272,,Atlanta,,,,,,,,,,,,
1935,National League,1983,3,,,,Doubles,297,,Montreal,,,,,,,,,,,,
1936,National League,1983,4,,,,Hits,"1,496",,St. Louis,,,,,,,,,,,,
1937,National League,1983,5,,,,Home Runs,146,,Los Angeles,,,,,,,,,,,,
1938,National League,1983,6,,,,On Base Percentage,.344,,Atlanta,,,,,,,,,,,,
1939,National League,1983,7,,,,Runs,746,,Atlanta,,,,,,,,,,,,
1940,National League,1983,8,,,,Slugging Average,.401,,Chicago,,,,,,,,,,,,
1941,National League,1984,1,,,,Base on Balls,567,,Chicago,,,,,,,,,,,,
1942,National League,1984,2,,,,Batting Average,.266,,Philadelphia,,,,,,,,,,,,
1943,National League,1984,3,,,,Doubles,248,,Philadelphia,,,,,,,,,,,,
1944,National League,1984,4,,,,Hits,"1,499",,San Francisco,,,,,,,,,,,,
1945,National League,1984,5,,,,Home Runs,147,,Philadelphia,,,,,,,,,,,,
1946,National League,1984,6,,,,On Base Percentage,.335,,Philadelphia,,,,,,,,,,,,
1947,National League,1984,7,,,,Runs,762,,Chicago,,,,,,,,,,,,
1948,National League,1984,8,,,,Slugging Average,.407,,Philadelphia,,,,,,,,,,,,
1949,National League,1985,1,,,,Base on Balls,586,,St. Louis,,,,,,,,,,,,
1950,National League,1985,2,,,,Batting Average,.264,,St. Louis,,,,,,,,,,,,
1951,National League,1985,3,,,,Doubles,261,,Houston,,,,,,,,,,,,
1952,National League,1985,4,,,,Hits,"1,457",,San Diego,,,,,,,,,,,,
1953,National League,1985,5,,,,Home Runs,150,,Chicago,,,,,,,,,,,,
1954,National League,1985,6,,,,On Base Percentage,.338,,St. Louis,,,,,,,,,,,,
1955,National League,1985,7,,,,Runs,747,,St. Louis,,,,,,,,,,,,
1956,National League,1985,8,,,,Slugging Average,.390,,Chicago,,,,,,,,,,,,
1957,National League,1986,1,,,,Base on Balls,631,,New York,,,,,,,,,,,,
1958,National League,1986,2,,,,Batting Average,.263,,New York,,,,,,,,,,,,
1959,National League,1986,3,,,,Doubles,273,,Pittsburgh,,,,,,,,,,,,
1960,National League,1986,4,,,,Hits,"1,462",,New York,,,,,,,,,,,,
1961,National League,1986,5,,,,Home Runs,155,,Chicago,,,,,,,,,,,,
1962,National League,1986,6,,,,On Base Percentage,.341,,New York,,,,,,,,,,,,
1963,National League,1986,7,,,,Runs,783,,New York,,,,,,,,,,,,
1964,National League,1986,8,,,,Slugging Average,.401,,New York,,,,,,,,,,,,
1965,National League,1987,1,,,,Base on Balls,644,,St. Louis,,,,,,,,,,,,
1966,National League,1987,2,,,,Batting Average,.268,,New York,,,,,,,,,,,,
1967,National League,1987,3,,,,Doubles,310,,Montreal,,,,,,,,,,,,
1968,National League,1987,4,,,,Hits,"1,499",,New York,,,,,,,,,,,,
1969,National League,1987,5,,,,Home Runs,209,,Chicago,,,,,,,,,,,,
1970,National League,1987,6,,,,On Base Percentage,.343,,St. Louis,,,,,,,,,,,,
1971,National League,1987,7,,,,Runs,823,,New York,,,,,,,,,,,,
1972,National League,1987,8,,,,Slugging Average,.434,,New York,,,,,,,,,,,,
1973,National League,1988,1,,,,Base on Balls,553,,Pittsburgh,,,,,,,,,,,,
1974,National League,1988,2,,,,Batting Average,.261,,Chicago,,,,,,,,,,,,
1975,National League,1988,3,,,,Doubles,262,,Chicago,,,,,,,,,,,,
1976,National League,1988,4,,,,Hits,"1,481",,Chicago,,,,,,,,,,,,
1977,National League,1988,5,,,,Home Runs,152,,New York,,,,,,,,,,,,
1978,National League,1988,6,,,,On Base Percentage,.328,,New York,,,,,,,,,,,,
1979,National League,1988,7,,,,Runs,703,,New York,,,,,,,,,,,,
1980,National League,1988,8,,,,Slugging Average,.396,,New York,,,,,,,,,,,,
1981,National League,1989,1,,,,Base on Balls,572,,Montreal,,,,,,,,,,,,
1982,National League,1989,2,,,,Batting Average,.261,,Chicago,,,,,,,,,,,,
1983,National League,1989,3,,,,Doubles,280,,New York,,,,,,,,,,,,
1984,National League,1989,4,,,,Hits,"1,438",,Chicago,,,,,,,,,,,,
1985,National League,1989,5,,,,Home Runs,147,,New York,,,,,,,,,,,,
1986,National League,1989,6,,,,On Base Percentage,.323,,St. Louis,,,,,,,,,,,,
1987,National League,1989,7,,,,Runs,702,,Chicago,,,,,,,,,,,,
1988,National League,1989,8,,,,Slugging Average,.390,,San Francisco,,,,,,,,,,,,
1989,National League,1990,1,,,,Base on Balls,582,,Philadelphia,,,,,,,,,,,,
1990,National League,1990,2,,,,Base on Balls,582,,Pittsburgh,,,,,,,,,,,,
1991,National League,1990,3,,,,Batting Average,.265,,Cincinnati,,,,,,,,,,,,
1992,National League,1990,4,,,,Doubles,288,,Pittsburgh,,,,,,,,,,,,
1993,National League,1990,5,,,,Hits,"1,474",,Chicago,,,,,,,,,,,,
1994,National League,1990,6,,,,Home Runs,172,,New York,,,,,,,,,,,,
1995,National League,1990,7,,,,On Base Percentage,.334,,Pittsburgh,,,,,,,,,,,,
1996,National League,1990,8,,,,Runs,775,,New York,,,,,,,,,,,,
1997,National League,1990,9,,,,Slugging Average,.408,,New York,,,,,,,,,,,,
1998,National League,1991,1,,,,Base on Balls,620,,Pittsburgh,,,,,,,,,,,,
1999,National League,1991,2,,,,Batting Average,.263,,Pittsburgh,,,,,,,,,,,,
2000,National League,1991,3,,,,Doubles,259,,Pittsburgh,,,,,,,,,,,,
2001,National League,1991,4,,,,Hits,"1,433",,Pittsburgh,,,,,,,,,,,,
2002,National League,1991,5,,,,Home Runs,164,,Cincinnati,,,,,,,,,,,,
2003,National League,1991,6,,,,On Base Percentage,.342,,Pittsburgh,,,,,,,,,,,,
2004,National League,1991,7,,,,Runs,768,,Pittsburgh,,,,,,,,,,,,
2005,National League,1991,8,,,,Slugging Average,.403,,Cincinnati,,,,,,,,,,,,
2006,National League,1991,9,,,,Stolen Bases,221,,Montreal,,,,,,,,,,,,
2007,National League,1992,1,,,,Base on Balls,572,,New York,,,,,,,,,,,,
2008,National League,1992,2,,,,Batting Average,.262,,St. Louis,,,,,,,,,,,,
2009,National League,1992,3,,,,Doubles,281,,Cincinnati,,,,,,,,,,,,
2010,National League,1992,4,,,,Hits,"1,464",,St. Louis,,,,,,,,,,,,
2011,National League,1992,5,,,,Home Runs,138,,Atlanta,,,,,,,,,,,,
2012,National League,1992,6,,,,On Base Percentage,.331,,Cincinnati,,,,,,,,,,,,
2013,National League,1992,7,,,,Runs,693,,Pittsburgh,,,,,,,,,,,,
2014,National League,1992,8,,,,Slugging Average,.388,,Atlanta,,,,,,,,,,,,
2015,National League,1993,1,,,,Base on Balls,665,,Philadelphia,,,,,,,,,,,,
2016,National League,1993,2,,,,Batting Average,.276,,San Francisco,,,,,,,,,,,,
2017,National League,1993,3,,,,Doubles,297,,Philadelphia,,,,,,,,,,,,
2018,National League,1993,4,,,,Hits,"1,555",,Philadelphia,,,,,,,,,,,,
2019,National League,1993,5,,,,Home Runs,169,,Atlanta,,,,,,,,,,,,
2020,National League,1993,6,,,,On Base Percentage,.354,,Philadelphia,,,,,,,,,,,,
2021,National League,1993,7,,,,Runs,877,,Philadelphia,,,,,,,,,,,,
2022,National League,1993,8,,,,Slugging Average,.427,,San Francisco,,,,,,,,,,,,
2023,National League,1994,1,,,,Base on Balls,434,,St. Louis,,,,,,,,,,,,
2024,National League,1994,2,,,,Batting Average,.286,,Cincinnati,,,,,,,,,,,,
2025,National League,1994,3,,,,Doubles,252,,Houston,,,,,,,,,,,,
2026,National League,1994,4,,,,Hits,"1,142",,Cincinnati,,,,,,,,,,,,
2027,National League,1994,5,,,,Home Runs,137,,Atlanta,,,,,,,,,,,,
2028,National League,1994,6,,,,On Base Percentage,.353,,Cincinnati,,,,,,,,,,,,
2029,National League,1994,7,,,,Runs,609,,Cincinnati,,,,,,,,,,,,
2030,National League,1994,8,,,,Slugging Average,.449,,Cincinnati,,,,,,,,,,,,
2031,National League,1995,1,,,,Base on Balls,566,,Houston,,,,,,,,,,,,
2032,National League,1995,2,,,,Batting Average,.282,,Colorado,,,,,,,,,,,,
2033,National League,1995,3,,,,Doubles,277,,Cincinnati,,,,,,,,,,,,
2034,National League,1995,4,,,,Hits,"1,406",,Colorado,,,,,,,,,,,,
2035,National League,1995,5,,,,Home Runs,200,,Colorado,,,,,,,,,,,,
2036,National League,1995,6,,,,On Base Percentage,.356,,Houston,,,,,,,,,,,,
2037,National League,1995,7,,,,Runs,785,,Colorado,,,,,,,,,,,,
2038,National League,1995,8,,,,Slugging Average,.471,,Colorado,,,,,,,,,,,,
2039,National League,1996,1,,,,Base on Balls,615,,San Francisco,,,,,,,,,,,,
2040,National League,1996,2,,,,Batting Average,.287,,Colorado,,,,,,,,,,,,
2041,National League,1996,3,,,,Doubles,319,,Pittsburgh,,,,,,,,,,,,
2042,National League,1996,4,,,,Hits,"1,607",,Colorado,,,,,,,,,,,,
2043,National League,1996,5,,,,Home Runs,221,,Colorado,,,,,,,,,,,,
2044,National League,1996,6,,,,On Base Percentage,.357,,Colorado,,,,,,,,,,,,
2045,National League,1996,7,,,,Runs,961,,Colorado,,,,,,,,,,,,
2046,National League,1996,8,,,,Slugging Average,.472,,Colorado,,,,,,,,,,,,
2047,National League,1997,1,,,,Base on Balls,686,,Florida,,,,,,,,,,,,
2048,National League,1997,2,,,,Batting Average,.288,,Colorado,,,,,,,,,,,,
2049,National League,1997,3,,,,Doubles,339,,Montreal,,,,,,,,,,,,
2050,National League,1997,4,,,,Hits,"1,611",,Colorado,,,,,,,,,,,,
2051,National League,1997,5,,,,Home Runs,239,,Colorado,,,,,,,,,,,,
2052,National League,1997,6,,,,On Base Percentage,.359,,Colorado,,,,,,,,,,,,
2053,National League,1997,7,,,,Runs,923,,Colorado,,,,,,,,,,,,
2054,National League,1997,8,,,,Slugging Average,.478,,Colorado,,,,,,,,,,,,
2055,National League,1997,9,,,,Stolen Bases,190,,Cincinnati,,,,,,,,,,,,
2056,National League,1998,1,,,,Base on Balls,678,,San Francisco,,,,,,,,,,,,
2057,National League,1998,2,,,,Batting Average,.291,,Colorado,,,,,,,,,,,,
2058,National League,1998,3,,,,Doubles,333,,Colorado,,,,,,,,,,,,
2059,National League,1998,4,,,,Hits,"1,640",,Colorado,,,,,,,,,,,,
2060,National League,1998,5,,,,Home Runs,223,,St. Louis,,,,,,,,,,,,
2061,National League,1998,6,,,,On Base Percentage,.359,,Houston,,,,,,,,,,,,
2062,National League,1998,7,,,,Runs,874,,Houston,,,,,,,,,,,,
2063,National League,1998,8,,,,Slugging Average,.461,,Colorado,,,,,,,,,,,,
2064,National League,1999,1,,,,Base on Balls,728,,Houston,,,,,,,,,,,,
2065,National League,1999,2,,,,Batting Average,.288,,Colorado,,,,,,,,,,,,
2066,National League,1999,3,,,,Doubles,320,,Montreal,,,,,,,,,,,,
2067,National League,1999,4,,,,Hits,"1,644",,Colorado,,,,,,,,,,,,
2068,National League,1999,5,,,,Home Runs,223,,Colorado,,,,,,,,,,,,
2069,National League,1999,6,,,,On Base Percentage,.363,,New York,,,,,,,,,,,,
2070,National League,1999,7,,,,Runs,908,,Arizona,,,,,,,,,,,,
2071,National League,1999,8,,,,Slugging Average,.472,,Colorado,,,,,,,,,,,,
2072,National League,2000,1,,,,Base on Balls,709,,San Francisco,,,,,,,,,,,,
2073,National League,2000,2,,,,Batting Average,.294,,Colorado,,,,,,,,,,,,
2074,National League,2000,3,,,,Doubles,320,,Colorado,,,,,,,,,,,,
2075,National League,2000,4,,,,Hits,"1,664",,Colorado,,,,,,,,,,,,
2076,National League,2000,5,,,,Home Runs,249,,Houston,,,,,,,,,,,,
2077,National League,2000,6,,,,On Base Percentage,.362,,Colorado,,,,,,,,,,,,
2078,National League,2000,7,,,,Runs,968,,Colorado,,,,,,,,,,,,
2079,National League,2000,8,,,,Slugging Average,.477,,Houston,,,,,,,,,,,,
2080,National League,2001,1,,,,Base on Balls,678,,San Diego,,,,,,,,,,,,
2081,National League,2001,2,,,,Batting Average,.292,,Colorado,,,,,,,,,,,,
2082,National League,2001,3,,,,Doubles,325,,Florida,,,,,,,,,,,,
2083,National League,2001,4,,,,Hits,"1,663",,Colorado,,,,,,,,,,,,
2084,National League,2001,5,,,,Home Runs,235,,San Francisco,,,,,,,,,,,,
2085,National League,2001,6,,,,On Base Percentage,.354,,Colorado,,,,,,,,,,,,
2086,National League,2001,7,,,,Runs,923,,Colorado,,,,,,,,,,,,
2087,National League,2001,8,,,,Slugging Average,.483,,Colorado,,,,,,,,,,,,
2088,National League,2002,1,.267,.346,.423,,,"2,331",Arizona,"5,508",46,283,162,"1,471",165,819,783,92,"1,016",41,643
2089,National League,2002,2,.260,.331,.409,,,"2,250",Atlanta,"5,495",39,280,161,"1,428",164,708,669,76,"1,028",25,558
2090,National League,2002,3,.246,.321,.413,,,"2,268",Chicago,"5,496",21,259,162,"1,351",200,706,676,63,"1,269",29,585
2091,National League,2002,4,.253,.330,.408,,,"2,232",Cincinnati,"5,470",52,297,162,"1,386",169,709,678,116,"1,188",21,583
2092,National League,2002,5,.274,.337,.423,,,"2,329",Colorado,"5,512",53,283,162,"1,508",152,778,726,103,"1,043",41,497
2093,National League,2002,6,.261,.337,.403,,,"2,215",Florida,"5,496",73,280,162,"1,433",146,699,653,177,"1,130",32,595
2094,National League,2002,7,.262,.338,.417,,,"2,297",Houston,"5,503",27,291,162,"1,441",167,749,719,71,"1,120",32,589
2095,National League,2002,8,.264,.320,.409,,,"2,273",Los Angeles,"5,554",37,286,162,"1,464",155,713,693,96,940,29,428
2096,National League,2002,9,.253,.320,.390,,,"2,113",Milwaukee,"5,415",50,269,162,"1,369",139,627,597,94,"1,125",29,500
2097,National League,2002,10,.261,.334,.418,,,"2,290",Montreal,"5,479",64,300,162,"1,432",162,735,695,118,"1,104",36,575
2098,National League,2002,11,.256,.322,.395,,,"2,171",New York,"5,496",42,238,161,"1,409",160,690,650,87,"1,044",22,486
2099,National League,2002,12,.259,.339,.422,,,"2,330",Philadelphia,"5,523",43,325,161,"1,428",165,710,676,104,"1,095",41,640
2100,National League,2002,13,.244,.319,.381,,,"2,029",Pittsburgh,"5,330",49,263,161,"1,300",142,641,610,86,"1,109",20,537
2101,National League,2002,14,.253,.321,.381,,,"2,102",San Diego,"5,515",44,243,162,"1,393",136,662,627,71,"1,062",29,547
2102,National League,2002,15,.267,.344,.442,,,"2,429",San Francisco,"5,497",21,300,162,"1,465",198,783,751,74,961,35,616
2103,National League,2003,1,.263,.330,.417,,,"2,320",Arizona,"5,570",38,303,162,"1,467",152,717,696,76,"1,006",47,531
2104,National League,2003,2,.284,.349,.475,,,"2,696",Atlanta,"5,670",22,321,162,"1,608",235,907,872,68,933,31,545
2105,National League,2003,3,.259,.323,.416,,,"2,297",Chicago,"5,519",31,302,162,"1,431",172,724,691,73,"1,158",24,492
2106,National League,2003,4,.245,.318,.395,,,"2,176",Cincinnati,"5,509",34,239,162,"1,349",182,694,669,80,"1,326",21,524
2107,National League,2003,5,.267,.344,.445,,,"2,458",Colorado,"5,518",37,330,162,"1,472",198,853,814,63,"1,134",31,619
2108,National League,2003,6,.266,.333,.421,,,"2,310",Florida,"5,490",74,292,162,"1,459",157,751,709,150,978,44,515
2109,National League,2003,7,.263,.336,.431,,,"2,407",Houston,"5,583",30,308,162,"1,466",191,805,763,66,"1,021",30,557
2110,National League,2003,8,.243,.303,.368,,,"2,010",Los Angeles,"5,458",36,260,162,"1,328",124,574,544,80,985,25,407
2111,National League,2003,9,.256,.329,.419,,,"2,325",Milwaukee,"5,548",39,266,162,"1,423",196,714,685,99,"1,221",24,547
2112,National League,2003,10,.258,.326,.401,,,"2,180",Montreal,"5,437",39,294,162,"1,404",144,711,682,100,990,25,522
2113,National League,2003,11,.247,.314,.374,,,"1,999",New York,"5,341",31,262,161,"1,317",124,642,607,70,"1,035",24,489
2114,National League,2003,12,.261,.343,.419,,,"2,325",Philadelphia,"5,543",29,325,162,"1,448",166,791,757,72,"1,155",27,651
2115,National League,2003,13,.267,.338,.420,,,"2,346",Pittsburgh,"5,581",37,275,162,"1,492",163,753,711,86,"1,049",45,529
2116,National League,2003,14,.261,.333,.388,,,"2,147",San Diego,"5,531",39,257,162,"1,442",128,678,641,76,"1,073",32,565
2117,National League,2003,15,.264,.338,.425,,,"2,319",San Francisco,"5,456",37,281,161,"1,440",180,755,713,53,980,29,593
2118,National League,2004,1,,,,Base on Balls,705,,San Francisco,,,,,,,,,,,,
2119,National League,2004,2,,,,Batting Average,.278,,St. Louis,,,,,,,,,,,,
2120,National League,2004,3,,,,Doubles,331,,Colorado,,,,,,,,,,,,
2121,National League,2004,4,,,,Hits,"1,544",,St. Louis,,,,,,,,,,,,
2122,National League,2004,5,,,,Home Runs,235,,Chicago,,,,,,,,,,,,
2123,National League,2004,6,,,,On Base Percentage,.357,,San Francisco,,,,,,,,,,,,
2124,National League,2004,7,,,,Runs,855,,San Francisco,,,,,,,,,,,,
2125,National League,2004,8,,,,Slugging Average,.460,,St. Louis,,,,,,,,,,,,
2126,Players League,1890,1,,,,Base on Balls,652,,Boston,,,,,,,,,,,,
2127,Players League,1890,2,,,,Batting Average,.285,,Cleveland,,,,,,,,,,,,
2128,Players League,1890,3,,,,Doubles,223,,Boston,,,,,,,,,,,,
2129,Players League,1890,4,,,,Hits,"1,393",,New York,,,,,,,,,,,,
2130,Players League,1890,5,,,,Home Runs,66,,New York,,,,,,,,,,,,
2131,Players League,1890,6,,,,On Base Percentage,.376,,Boston,,,,,,,,,,,,
2132,Players League,1890,7,,,,Runs,"1,018",,New York,,,,,,,,,,,,
2133,Players League,1890,8,,,,Slugging Average,.405,,New York,,,,,,,,,,,,
2134,Players League,1890,9,,,,Triples,113,,Philadelphia,,,,,,,,,,,,
2135,Union Association,1884,1,,,,Base on Balls,181,,St. Louis,,,,,,,,,,,,
2136,Union Association,1884,2,,,,Batting Average,.292,,St. Louis,,,,,,,,,,,,
2137,Union Association,1884,3,,,,Doubles,259,,St. Louis,,,,,,,,,,,,
2138,Union Association,1884,4,,,,Hits,"1,251",,St. Louis,,,,,,,,,,,,
2139,Union Association,1884,5,,,,Home Runs,32,,St. Louis,,,,,,,,,,,,
2140,Union Association,1884,6,,,,On Base Percentage,.321,,St. Louis,,,,,,,,,,,,
2141,Union Association,1884,7,,,,Runs,887,,St. Louis,,,,,,,,,,,,
2142,Union Association,1884,8,,,,Slugging Average,.394,,St. Louis,,,,,,,,,,,,
2143,Union Association,1884,9,,,,Triples,63,,Cincinnati,,,,,,,,,,,,
