id,league,year,year_id,Name,Statistic,Statistic Value,Team,Top 25
1,American Association,1882,1,Will White,Complete Games,52,Cincinnati,Top 25
2,American Association,1882,2,Denny Driscoll,ERA,1.21,Pittsburgh,Top 25
3,American Association,1882,3,Tony Mullane,Games,55,Louisville,Top 25
4,American Association,1882,4,Eddie Fusselback,Saves,1,St. Louis,n/a
5,American Association,1882,5,Will White,Shutouts,8,Cincinnati,Top 25
6,American Association,1882,6,Tony Mullane,Strikeouts,170,Louisville,Top 25
7,American Association,1882,7,Will White,Winning Percentage,.769,Cincinnati,Top 25
8,American Association,1882,8,Will White,Wins,40,Cincinnati,Top 25
9,American Association,1883,1,Tim Keefe,Complete Games,68,New York,Top 25
10,American Association,1883,2,Will White,ERA,2.09,Cincinnati,Top 25
11,American Association,1883,3,Tim Keefe,Games,68,New York,Top 25
12,American Association,1883,4,Bob Barr,Saves,1,Pittsburgh,n/a
13,American Association,1883,5,Tony Mullane,Saves,1,St. Louis,n/a
14,American Association,1883,6,Jumbo McGinnis,Shutouts,6,St. Louis,Top 25
15,American Association,1883,7,Will White,Shutouts,6,Cincinnati,Top 25
16,American Association,1883,8,Tim Keefe,Strikeouts,359,New York,Top 25
17,American Association,1883,9,Tony Mullane,Winning Percentage,.700,St. Louis,Top 25
18,American Association,1883,10,Will White,Wins,43,Cincinnati,Top 25
19,American Association,1884,1,Guy Hecker,Complete Games,72,Louisville,Top 25
20,American Association,1884,2,Guy Hecker,ERA,1.80,Louisville,Top 25
21,American Association,1884,3,Guy Hecker,Games,75,Louisville,Top 25
22,American Association,1884,4,Oyster Burns,Saves,1,Baltimore,n/a
23,American Association,1884,5,Frank Mountain,Saves,1,Columbus,n/a
24,American Association,1884,6,Hank O'Day,Saves,1,Toledo,n/a
25,American Association,1884,7,Tony Mullane,Shutouts,7,Toledo,Top 25
26,American Association,1884,8,Will White,Shutouts,7,Cincinnati,Top 25
27,American Association,1884,9,Guy Hecker,Strikeouts,385,Louisville,Top 25
28,American Association,1884,10,Tip O'Neill,Winning Percentage,.733,St. Louis,Top 25
29,American Association,1884,11,Guy Hecker,Wins,52,Louisville,Top 25
30,American Association,1885,1,Ed Morris,Complete Games,63,Pittsburgh,Top 25
31,American Association,1885,2,Bob Caruthers,ERA,2.07,St. Louis,Top 25
32,American Association,1885,3,Ed Morris,Games,63,Pittsburgh,Top 25
33,American Association,1885,4,Oyster Burns,Saves,3,Baltimore,Top 25
34,American Association,1885,5,Ed Morris,Shutouts,7,Pittsburgh,Top 25
35,American Association,1885,6,Ed Morris,Strikeouts,298,Pittsburgh,Top 25
36,American Association,1885,7,Bob Caruthers,Winning Percentage,.755,St. Louis,Top 25
37,American Association,1885,8,Bob Caruthers,Wins,40,St. Louis,Top 25
38,American Association,1886,1,Matt Kilroy,Complete Games,66,Baltimore,Top 25
39,American Association,1886,2,Toad Ramsey,Complete Games,66,Louisville,Top 25
40,American Association,1886,3,Dave Foutz,ERA,2.11,St. Louis,Top 25
41,American Association,1886,4,Matt Kilroy,Games,68,Baltimore,Top 25
42,American Association,1886,5,Bones Ely,Saves,1,Louisville,n/a
43,American Association,1886,6,Dave Foutz,Saves,1,St. Louis,n/a
44,American Association,1886,7,Nat Hudson,Saves,1,St. Louis,n/a
45,American Association,1886,8,Ed Morris,Saves,1,Pittsburgh,n/a
46,American Association,1886,9,Ed Morris,Shutouts,12,Pittsburgh,Top 25
47,American Association,1886,10,Matt Kilroy,Strikeouts,513,Baltimore,Top 25
48,American Association,1886,11,Dave Foutz,Winning Percentage,.719,St. Louis,Top 25
49,American Association,1886,12,Dave Foutz,Wins,41,St. Louis,Top 25
50,American Association,1886,13,Ed Morris,Wins,41,Pittsburgh,Top 25
51,American Association,1887,1,Matt Kilroy,Complete Games,66,Baltimore,Top 25
52,American Association,1887,2,Elmer Smith,ERA,2.94,Cincinnati,Top 25
53,American Association,1887,3,Matt Kilroy,Games,69,Baltimore,Top 25
54,American Association,1887,4,Adonis Terry,Saves,3,Brooklyn,Top 25
55,American Association,1887,5,Matt Kilroy,Shutouts,6,Baltimore,Top 25
56,American Association,1887,6,Tony Mullane,Shutouts,6,Cincinnati,Top 25
57,American Association,1887,7,Toad Ramsey,Strikeouts,355,Louisville,Top 25
58,American Association,1887,8,Bob Caruthers,Winning Percentage,.763,St. Louis,Top 25
59,American Association,1887,9,Matt Kilroy,Wins,46,Baltimore,Top 25
60,American Association,1888,1,Silver King,Complete Games,64,St. Louis,Top 25
61,American Association,1888,2,Silver King,ERA,1.64,St. Louis,Top 25
62,American Association,1888,3,Silver King,Games,66,St. Louis,Top 25
63,American Association,1888,4,Bob Gilks,Saves,1,Cleveland,n/a
64,American Association,1888,5,Tony Mullane,Saves,1,Cincinnati,n/a
65,American Association,1888,6,Silver King,Shutouts,6,St. Louis,Top 25
66,American Association,1888,7,Ed Seward,Shutouts,6,Philadelphia,Top 25
67,American Association,1888,8,Ed Seward,Strikeouts,272,Philadelphia,Top 25
68,American Association,1888,9,Nat Hudson,Winning Percentage,.714,St. Louis,Top 25
69,American Association,1888,10,Silver King,Wins,45,St. Louis,Top 25
70,American Association,1889,1,Matt Kilroy,Complete Games,55,Baltimore,Top 25
71,American Association,1889,2,Jack Stivetts,ERA,2.25,St. Louis,Top 25
72,American Association,1889,3,Mark Baldwin,Games,63,Columbus,Top 25
73,American Association,1889,4,Tony Mullane,Saves,5,Cincinnati,Top 25
74,American Association,1889,5,Bob Caruthers,Shutouts,7,Brooklyn,Top 25
75,American Association,1889,6,Mark Baldwin,Strikeouts,368,Columbus,Top 25
76,American Association,1889,7,Bob Caruthers,Winning Percentage,.784,Brooklyn,Top 25
77,American Association,1889,8,Bob Caruthers,Wins,40,Brooklyn,Top 25
78,American Association,1890,1,Sadie McMahon,Complete Games,55,Philadelphia,Top 25
79,American Association,1890,2,Sadie McMahon,Complete Games,55,Baltimore,Top 25
80,American Association,1890,3,Scott Stratton,ERA,2.36,Louisville,Top 25
81,American Association,1890,4,Sadie McMahon,Games,60,Philadelphia,Top 25
82,American Association,1890,5,Sadie McMahon,Games,60,Baltimore,Top 25
83,American Association,1890,6,Herb Goodall,Saves,4,Louisville,Top 25
84,American Association,1890,7,Elton Chamberlain,Shutouts,6,St. Louis,Top 25
85,American Association,1890,8,Elton Chamberlain,Shutouts,6,Columbus,Top 25
86,American Association,1890,9,Sadie McMahon,Strikeouts,291,Philadelphia,Top 25
87,American Association,1890,10,Sadie McMahon,Strikeouts,291,Baltimore,Top 25
88,American Association,1890,11,Scott Stratton,Winning Percentage,.708,Louisville,Top 25
89,American Association,1890,12,Sadie McMahon,Wins,36,Philadelphia,Top 25
90,American Association,1891,1,Sadie McMahon,Complete Games,53,Baltimore,Top 25
91,American Association,1891,2,Ed Crane,ERA,2.45,Cincinnati,Top 25
92,American Association,1891,3,Jack Stivetts,Games,64,St. Louis,Top 25
93,American Association,1891,4,Bill Daley,Saves,2,Boston,Top 25
94,American Association,1891,5,Darby O'Brien,Saves,2,Boston,Top 25
95,American Association,1891,6,George Haddock,Shutouts,5,Boston,Top 25
96,American Association,1891,7,Phil Knell,Shutouts,5,Columbus,Top 25
97,American Association,1891,8,Sadie McMahon,Shutouts,5,Baltimore,Top 25
98,American Association,1891,9,Jack Stivetts,Strikeouts,259,St. Louis,Top 25
99,American Association,1891,10,Charlie Buffinton,Winning Percentage,.763,Boston,Top 25
100,American League,1901,1,Joe McGinnity,Complete Games,39,Baltimore,Top 25
101,American League,1901,2,Cy Young,ERA,1.62,Boston,Top 25
102,American League,1901,3,Joe McGinnity,Games,48,Baltimore,Top 25
103,American League,1901,4,Bill Hoffer,Saves,3,Cleveland,Top 25
104,American League,1901,5,Clark Griffith,Shutouts,5,Chicago,Top 25
105,American League,1901,6,Cy Young,Shutouts,5,Boston,Top 25
106,American League,1901,7,Cy Young,Strikeouts,158,Boston,Top 25
107,American League,1901,8,Clark Griffith,Winning Percentage,.774,Chicago,Top 25
108,American League,1901,9,Cy Young,Wins,33,Boston,Top 25
109,American League,1902,1,Cy Young,Complete Games,41,Boston,Top 25
110,American League,1902,2,Ed Siever,ERA,1.91,Detroit,Top 25
111,American League,1902,3,Cy Young,Games,45,Boston,Top 25
112,American League,1902,4,Jack Powell,Saves,2,St. Louis,Top 25
113,American League,1902,5,Addie Joss,Shutouts,5,Cleveland,Top 25
114,American League,1902,6,Rube Waddell,Strikeouts,210,Philadelphia,Top 25
115,American League,1902,7,Bill Bernhard,Winning Percentage,.783,Philadelphia,Top 25
116,American League,1902,8,Bill Bernhard,Winning Percentage,.783,Cleveland,Top 25
117,American League,1902,9,Cy Young,Wins,32,Boston,Top 25
118,American League,1903,1,Bill Donovan,Complete Games,34,Detroit,Top 25
119,American League,1903,2,Rube Waddell,Complete Games,34,Philadelphia,Top 25
120,American League,1903,3,Cy Young,Complete Games,34,Boston,Top 25
121,American League,1903,4,Earl Moore,ERA,1.74,Cleveland,Top 25
122,American League,1903,5,Eddie Plank,Games,43,Philadelphia,Top 25
123,American League,1903,6,Bill Dinneen,Saves,2,Boston,Top 25
124,American League,1903,7,George Mullin,Saves,2,Detroit,Top 25
125,American League,1903,8,Al Orth,Saves,2,Washington,Top 25
126,American League,1903,9,Jack Powell,Saves,2,St. Louis,Top 25
127,American League,1903,10,Cy Young,Saves,2,Boston,Top 25
128,American League,1903,11,Cy Young,Shutouts,7,Boston,Top 25
129,American League,1903,12,Rube Waddell,Strikeouts,302,Philadelphia,Top 25
130,American League,1903,13,Cy Young,Winning Percentage,.757,Boston,Top 25
131,American League,1903,14,Cy Young,Wins,28,Boston,Top 25
132,American League,1904,1,Jack Chesbro,Complete Games,48,New York,Top 25
133,American League,1904,2,Addie Joss,ERA,1.59,Cleveland,Top 25
134,American League,1904,3,Jack Chesbro,Games,55,New York,Top 25
135,American League,1904,4,Case Patten,Saves,3,Washington,Top 25
136,American League,1904,5,Cy Young,Shutouts,10,Boston,Top 25
137,American League,1904,6,Rube Waddell,Strikeouts,349,Philadelphia,Top 25
138,American League,1904,7,Jack Chesbro,Winning Percentage,.774,New York,Top 25
139,American League,1904,8,Jack Chesbro,Wins,41,New York,Top 25
140,American League,1905,1,Harry Howell,Complete Games,35,St. Louis,Top 25
141,American League,1905,2,George Mullin,Complete Games,35,Detroit,Top 25
142,American League,1905,3,Eddie Plank,Complete Games,35,Philadelphia,Top 25
143,American League,1905,4,Rube Waddell,ERA,1.48,Philadelphia,Top 25
144,American League,1905,5,Rube Waddell,Games,46,Philadelphia,Top 25
145,American League,1905,6,Jim Buchanan,Saves,2,St. Louis,Top 25
146,American League,1905,7,Ed Killian,Shutouts,8,Detroit,Top 25
147,American League,1905,8,Rube Waddell,Strikeouts,287,Philadelphia,Top 25
148,American League,1905,9,Rube Waddell,Winning Percentage,.730,Philadelphia,Top 25
149,American League,1906,1,Al Orth,Complete Games,36,New York,Top 25
150,American League,1906,2,Doc White,ERA,1.52,Chicago,Top 25
151,American League,1906,3,Jack Chesbro,Games,49,New York,Top 25
152,American League,1906,4,Chief Bender,Saves,3,Philadelphia,Top 25
153,American League,1906,5,Otto Hess,Saves,3,Cleveland,Top 25
154,American League,1906,6,Ed Walsh,Shutouts,10,Chicago,Top 25
155,American League,1906,7,Rube Waddell,Strikeouts,196,Philadelphia,Top 25
156,American League,1906,8,Eddie Plank,Winning Percentage,.760,Philadelphia,Top 25
157,American League,1906,9,Al Orth,Wins,27,New York,Top 25
158,American League,1907,1,Ed Walsh,Complete Games,37,Chicago,Top 25
159,American League,1907,2,Ed Walsh,ERA,1.60,Chicago,Top 25
160,American League,1907,3,Ed Walsh,Games,56,Chicago,Top 25
161,American League,1907,4,Bill Dinneen,Saves,4,Philadelphia,Top 25
162,American League,1907,5,Bill Dinneen,Saves,4,St. Louis,Top 25
163,American League,1907,6,Tom Hughes,Saves,4,Washington,Top 25
164,American League,1907,7,Ed Walsh,Saves,4,Chicago,Top 25
165,American League,1907,8,Eddie Plank,Shutouts,8,Philadelphia,Top 25
166,American League,1907,9,Rube Waddell,Strikeouts,232,Philadelphia,Top 25
167,American League,1907,10,Bill Donovan,Winning Percentage,.862,Detroit,Top 25
168,American League,1907,11,Addie Joss,Wins,27,Cleveland,Top 25
169,American League,1907,12,Doc White,Wins,27,Chicago,Top 25
170,American League,1908,1,Ed Walsh,Complete Games,42,Chicago,Top 25
171,American League,1908,2,Addie Joss,ERA,1.16,Cleveland,Top 25
172,American League,1908,3,Ed Walsh,Games,66,Chicago,Top 25
173,American League,1908,4,Ed Walsh,Saves,6,Chicago,Top 25
174,American League,1908,5,Ed Walsh,Shutouts,11,Chicago,Top 25
175,American League,1908,6,Ed Walsh,Strikeouts,269,Chicago,Top 25
176,American League,1908,7,Ed Walsh,Winning Percentage,.727,Chicago,Top 25
177,American League,1908,8,Ed Walsh,Wins,40,Chicago,Top 25
178,American League,1909,1,Frank Smith,Complete Games,37,Chicago,Top 25
179,American League,1909,2,Harry Krause,ERA,1.39,Philadelphia,Top 25
180,American League,1909,3,Frank Smith,Games,51,Chicago,Top 25
181,American League,1909,4,Frank Arellanes,Saves,8,Boston,Top 25
182,American League,1909,5,Ed Walsh,Shutouts,8,Chicago,Top 25
183,American League,1909,6,Frank Smith,Strikeouts,177,Chicago,Top 25
184,American League,1909,7,George Mullin,Winning Percentage,.784,Detroit,Top 25
185,American League,1909,8,George Mullin,Wins,29,Detroit,Top 25
186,American League,1910,1,Walter Johnson,Complete Games,38,Washington,Top 25
187,American League,1910,2,Ed Walsh,ERA,1.27,Chicago,Top 25
188,American League,1910,3,Ed Walsh,Games,45,Chicago,Top 25
189,American League,1910,4,Jack Coombs,Games,45,Philadelphia,Top 25
190,American League,1910,5,Walter Johnson,Games,45,Washington,Top 25
191,American League,1910,6,Ed Walsh,Saves,5,Chicago,Top 25
192,American League,1910,7,Jack Coombs,Shutouts,13,Philadelphia,Top 25
193,American League,1910,8,Walter Johnson,Strikeouts,313,Washington,Top 25
194,American League,1910,9,Chief Bender,Winning Percentage,.821,Philadelphia,Top 25
195,American League,1910,10,Jack Coombs,Wins,31,Philadelphia,Top 25
196,American League,1911,1,Walter Johnson,Complete Games,36,Washington,Top 25
197,American League,1911,2,Vean Gregg,ERA,1.80,Cleveland,Top 25
198,American League,1911,3,Ed Walsh,Games,56,Chicago,Top 25
199,American League,1911,4,Charley Hall,Saves,4,Boston,Top 25
200,American League,1911,5,Eddie Plank,Saves,4,Philadelphia,Top 25
201,American League,1911,6,Ed Walsh,Saves,4,Chicago,Top 25
202,American League,1911,7,Eddie Plank,Shutouts,6,Philadelphia,Top 25
203,American League,1911,8,Walter Johnson,Shutouts,6,Washington,Top 25
204,American League,1911,9,Ed Walsh,Strikeouts,255,Chicago,Top 25
205,American League,1911,10,Chief Bender,Winning Percentage,.773,Philadelphia,Top 25
206,American League,1911,11,Jack Coombs,Wins,28,Philadelphia,Top 25
207,American League,1912,1,Smoky Joe Wood,Complete Games,35,Boston,Top 25
208,American League,1912,2,Walter Johnson,ERA,1.39,Washington,Top 25
209,American League,1912,3,Ed Walsh,Games,62,Chicago,Top 25
210,American League,1912,4,Ed Walsh,Saves,10,Chicago,Top 25
211,American League,1912,5,Smoky Joe Wood,Shutouts,10,Boston,Top 25
212,American League,1912,6,Walter Johnson,Strikeouts,303,Washington,Top 25
213,American League,1912,7,Smoky Joe Wood,Winning Percentage,.872,Boston,Top 25
214,American League,1912,8,Smoky Joe Wood,Wins,34,Boston,Top 25
215,American League,1913,1,Walter Johnson,Complete Games,29,Washington,Top 25
216,American League,1913,2,Walter Johnson,ERA,1.14,Washington,Top 25
217,American League,1913,3,Reb Russell,Games,52,Chicago,Top 25
218,American League,1913,4,Chief Bender,Saves,13,Philadelphia,Top 25
219,American League,1913,5,Walter Johnson,Shutouts,11,Washington,Top 25
220,American League,1913,6,Walter Johnson,Strikeouts,243,Washington,Top 25
221,American League,1913,7,Walter Johnson,Winning Percentage,.837,Washington,Top 25
222,American League,1913,8,Walter Johnson,Wins,36,Washington,Top 25
223,American League,1914,1,Walter Johnson,Complete Games,33,Washington,Top 25
224,American League,1914,2,Dutch Leonard,ERA,0.96,Boston,Top 25
225,American League,1914,3,Walter Johnson,Games,51,Washington,Top 25
226,American League,1914,4,Jack Bentley,Saves,4,Washington,Top 25
227,American League,1914,5,Hooks Dauss,Saves,4,Detroit,Top 25
228,American League,1914,6,Red Faber,Saves,4,Chicago,Top 25
229,American League,1914,7,Roy Mitchell,Saves,4,St. Louis,Top 25
230,American League,1914,8,Jim Shaw,Saves,4,Washington,Top 25
231,American League,1914,9,Walter Johnson,Shutouts,9,Washington,Top 25
232,American League,1914,10,Walter Johnson,Strikeouts,225,Washington,Top 25
233,American League,1914,11,Chief Bender,Winning Percentage,.850,Philadelphia,Top 25
234,American League,1914,12,Walter Johnson,Wins,28,Washington,Top 25
235,American League,1915,1,Walter Johnson,Complete Games,35,Washington,Top 25
236,American League,1915,2,Smoky Joe Wood,ERA,1.49,Boston,Top 25
237,American League,1915,3,Harry Coveleski,Games,50,Detroit,Top 25
238,American League,1915,4,Red Faber,Games,50,Chicago,Top 25
239,American League,1915,5,Carl Mays,Saves,7,Boston,Top 25
240,American League,1915,6,Walter Johnson,Shutouts,7,Washington,Top 25
241,American League,1915,7,Jim Scott,Shutouts,7,Chicago,Top 25
242,American League,1915,8,Walter Johnson,Strikeouts,203,Washington,Top 25
243,American League,1915,9,Smoky Joe Wood,Winning Percentage,.750,Boston,Top 25
244,American League,1915,10,Walter Johnson,Wins,27,Washington,Top 25
245,American League,1916,1,Walter Johnson,Complete Games,36,Washington,Top 25
246,American League,1916,2,Babe Ruth,ERA,1.75,Boston,Top 25
247,American League,1916,3,Dave Davenport,Games,59,St. Louis,Top 25
248,American League,1916,4,Bob Shawkey,Saves,8,New York,Top 25
249,American League,1916,5,Babe Ruth,Shutouts,9,Boston,Top 25
250,American League,1916,6,Walter Johnson,Strikeouts,228,Washington,Top 25
251,American League,1916,7,Nick Cullop,Winning Percentage,.684,New York,Top 25
252,American League,1916,8,Walter Johnson,Wins,25,Washington,Top 25
253,American League,1917,1,Babe Ruth,Complete Games,35,Boston,Top 25
254,American League,1917,2,Eddie Cicotte,ERA,1.53,Chicago,Top 25
255,American League,1917,3,Dave Danforth,Games,50,Chicago,Top 25
256,American League,1917,4,Dave Danforth,Saves,9,Chicago,Top 25
257,American League,1917,5,Stan Coveleski,Shutouts,9,Cleveland,Top 25
258,American League,1917,6,Walter Johnson,Strikeouts,188,Washington,Top 25
259,American League,1917,7,Ed Klepfer,Winning Percentage,.778,Cleveland,Top 25
260,American League,1917,8,Eddie Cicotte,Wins,28,Chicago,Top 25
261,American League,1918,1,Carl Mays,Complete Games,30,Boston,Top 25
262,American League,1918,2,Scott Perry,Complete Games,30,Philadelphia,Top 25
263,American League,1918,3,Walter Johnson,ERA,1.27,Washington,Top 25
264,American League,1918,4,Jim Bagby,Games,45,Cleveland,Top 25
265,American League,1918,5,George Mogridge,Games,45,New York,Top 25
266,American League,1918,6,George Mogridge,Saves,7,New York,Top 25
267,American League,1918,7,Walter Johnson,Shutouts,8,Washington,Top 25
268,American League,1918,8,Carl Mays,Shutouts,8,Boston,Top 25
269,American League,1918,9,Walter Johnson,Strikeouts,162,Washington,Top 25
270,American League,1918,10,Sam Jones,Winning Percentage,.762,Boston,Top 25
271,American League,1918,11,Walter Johnson,Wins,23,Washington,Top 25
272,American League,1919,1,Eddie Cicotte,Complete Games,30,Chicago,Top 25
273,American League,1919,2,Walter Johnson,ERA,1.49,Washington,Top 25
274,American League,1919,3,Jim Shaw,Games,45,Washington,Top 25
275,American League,1919,4,Allan Russell,Saves,5,New York,Top 25
276,American League,1919,5,Allan Russell,Saves,5,Boston,Top 25
277,American League,1919,6,Bob Shawkey,Saves,5,New York,Top 25
278,American League,1919,7,Jim Shaw,Saves,5,Washington,Top 25
279,American League,1919,8,Walter Johnson,Shutouts,7,Washington,Top 25
280,American League,1919,9,Walter Johnson,Strikeouts,147,Washington,Top 25
281,American League,1919,10,Eddie Cicotte,Winning Percentage,.806,Chicago,Top 25
282,American League,1919,11,Eddie Cicotte,Wins,29,Chicago,Top 25
283,American League,1920,1,Jim Bagby,Complete Games,30,Cleveland,Top 25
284,American League,1920,2,Bob Shawkey,ERA,2.45,New York,Top 25
285,American League,1920,3,Jim Bagby,Games,48,Cleveland,Top 25
286,American League,1920,4,Dickie Kerr,Saves,5,Chicago,Top 25
287,American League,1920,5,Urban Shocker,Saves,5,St. Louis,Top 25
288,American League,1920,6,Carl Mays,Shutouts,6,New York,Top 25
289,American League,1920,7,Stan Coveleski,Strikeouts,133,Cleveland,Top 25
290,American League,1920,8,Jim Bagby,Winning Percentage,.721,Cleveland,Top 25
291,American League,1920,9,Jim Bagby,Wins,31,Cleveland,Top 25
292,American League,1921,1,Red Faber,Complete Games,32,Chicago,Top 25
293,American League,1921,2,Red Faber,ERA,2.48,Chicago,Top 25
294,American League,1921,3,Carl Mays,Games,49,New York,Top 25
295,American League,1921,4,Carl Mays,Saves,7,New York,Top 25
296,American League,1921,5,Jim Middleton,Saves,7,Detroit,Top 25
297,American League,1921,6,Sam Jones,Shutouts,5,Boston,Top 25
298,American League,1921,7,Walter Johnson,Strikeouts,143,Washington,Top 25
299,American League,1921,8,Carl Mays,Winning Percentage,.750,New York,Top 25
300,American League,1921,9,Carl Mays,Wins,27,New York,Top 25
301,American League,1921,10,Urban Shocker,Wins,27,St. Louis,Top 25
302,American League,1922,1,Red Faber,Complete Games,31,Chicago,Top 25
303,American League,1922,2,Red Faber,ERA,2.81,Chicago,Top 25
304,American League,1922,3,Eddie Rommel,Games,51,Philadelphia,Top 25
305,American League,1922,4,Sam Jones,Saves,8,New York,Top 25
306,American League,1922,5,George Uhle,Shutouts,5,Cleveland,Top 25
307,American League,1922,6,Urban Shocker,Strikeouts,149,St. Louis,Top 25
308,American League,1922,7,Joe Bush,Winning Percentage,.788,New York,Top 25
309,American League,1922,8,Eddie Rommel,Wins,27,Philadelphia,Top 25
310,American League,1923,1,George Uhle,Complete Games,29,Cleveland,Top 25
311,American League,1923,2,Stan Coveleski,ERA,2.76,Cleveland,Top 25
312,American League,1923,3,Eddie Rommel,Games,56,Philadelphia,Top 25
313,American League,1923,4,Allan Russell,Saves,9,Washington,Top 25
314,American League,1923,5,Stan Coveleski,Shutouts,5,Cleveland,Top 25
315,American League,1923,6,Walter Johnson,Strikeouts,130,Washington,Top 25
316,American League,1923,7,Herb Pennock,Winning Percentage,.760,New York,Top 25
317,American League,1924,1,Sloppy Thurston,Complete Games,28,Chicago,Top 25
318,American League,1924,2,Walter Johnson,ERA,2.72,Washington,Top 25
319,American League,1924,3,Firpo Marberry,Games,50,Washington,Top 25
320,American League,1924,4,Firpo Marberry,Saves,15,Washington,Top 25
321,American League,1924,5,Walter Johnson,Shutouts,6,Washington,Top 25
322,American League,1924,6,Walter Johnson,Strikeouts,158,Washington,Top 25
323,American League,1924,7,Walter Johnson,Winning Percentage,.767,Washington,Top 25
324,American League,1925,1,Howard Ehmke,Complete Games,22,Boston,Top 25
325,American League,1925,2,Sherry Smith,Complete Games,22,Cleveland,Top 25
326,American League,1925,3,Stan Coveleski,ERA,2.84,Washington,Top 25
327,American League,1925,4,Firpo Marberry,Games,55,Washington,Top 25
328,American League,1925,5,Firpo Marberry,Saves,15,Washington,Top 25
329,American League,1925,6,Ted Lyons,Shutouts,5,Chicago,Top 25
330,American League,1925,7,Lefty Grove,Strikeouts,116,Philadelphia,Top 25
331,American League,1925,8,Stan Coveleski,Winning Percentage,.800,Washington,Top 25
332,American League,1925,9,Ted Lyons,Wins,21,Chicago,Top 25
333,American League,1926,1,George Uhle,Complete Games,32,Cleveland,Top 25
334,American League,1926,2,Lefty Grove,ERA,2.51,Philadelphia,Top 25
335,American League,1926,3,Firpo Marberry,Games,64,Washington,Top 25
336,American League,1926,4,Firpo Marberry,Saves,22,Washington,Top 25
337,American League,1926,5,Ed Wells,Shutouts,4,Detroit,Top 25
338,American League,1926,6,Lefty Grove,Strikeouts,194,Philadelphia,Top 25
339,American League,1926,7,George Uhle,Winning Percentage,.711,Cleveland,Top 25
340,American League,1927,1,Ted Lyons,Complete Games,30,Chicago,Top 25
341,American League,1927,2,Wilcy Moore,ERA,2.28,New York,Top 25
342,American League,1927,3,Garland Braxton,Games,58,Washington,Top 25
343,American League,1927,4,Garland Braxton,Saves,13,Washington,Top 25
344,American League,1927,5,Wilcy Moore,Saves,13,New York,Top 25
345,American League,1927,6,Hod Lisenbee,Shutouts,4,Washington,Top 25
346,American League,1927,7,Lefty Grove,Strikeouts,174,Philadelphia,Top 25
347,American League,1927,8,Waite Hoyt,Winning Percentage,.759,New York,Top 25
348,American League,1927,9,Waite Hoyt,Wins,22,New York,Top 25
349,American League,1927,10,Ted Lyons,Wins,22,Chicago,Top 25
350,American League,1928,1,Red Ruffing,Complete Games,25,Boston,Top 25
351,American League,1928,2,Garland Braxton,ERA,2.51,Washington,Top 25
352,American League,1928,3,Firpo Marberry,Games,48,Washington,Top 25
353,American League,1928,4,Waite Hoyt,Saves,8,New York,Top 25
354,American League,1928,5,Herb Pennock,Shutouts,5,New York,Top 25
355,American League,1928,6,Lefty Grove,Strikeouts,183,Philadelphia,Top 25
356,American League,1928,7,Alvin Crowder,Winning Percentage,.808,St. Louis,Top 25
357,American League,1928,8,Lefty Grove,Wins,24,Philadelphia,Top 25
358,American League,1929,1,Tommy Thomas,Complete Games,24,Chicago,Top 25
359,American League,1929,2,Lefty Grove,ERA,2.81,Philadelphia,Top 25
360,American League,1929,3,Firpo Marberry,Games,49,Washington,Top 25
361,American League,1929,4,Firpo Marberry,Saves,11,Washington,Top 25
362,American League,1929,5,George Blaeholder,Shutouts,5,St. Louis,Top 25
363,American League,1929,6,Alvin Crowder,Shutouts,5,St. Louis,Top 25
364,American League,1929,7,Dolly Gray,Shutouts,5,St. Louis,Top 25
365,American League,1929,8,Danny MacFayden,Shutouts,5,Boston,Top 25
366,American League,1929,9,Lefty Grove,Strikeouts,170,Philadelphia,Top 25
367,American League,1929,10,Lefty Grove,Winning Percentage,.769,Philadelphia,Top 25
368,American League,1930,1,Ted Lyons,Complete Games,29,Chicago,Top 25
369,American League,1930,2,Lefty Grove,ERA,2.54,Philadelphia,Top 25
370,American League,1930,3,Lefty Grove,Games,50,Philadelphia,Top 25
371,American League,1930,4,Lefty Grove,Saves,9,Philadelphia,Top 25
372,American League,1930,5,Clint Brown,Shutouts,3,Cleveland,Top 25
373,American League,1930,6,George Earnshaw,Shutouts,3,Philadelphia,Top 25
374,American League,1930,7,George Pipgras,Shutouts,3,New York,Top 25
375,American League,1930,8,Lefty Grove,Strikeouts,209,Philadelphia,Top 25
376,American League,1930,9,Lefty Grove,Winning Percentage,.848,Philadelphia,Top 25
377,American League,1931,1,Wes Ferrell,Complete Games,27,Cleveland,Top 25
378,American League,1931,2,Lefty Grove,Complete Games,27,Philadelphia,Top 25
379,American League,1931,3,Lefty Grove,ERA,2.06,Philadelphia,Top 25
380,American League,1931,4,Bump Hadley,Games,55,Washington,Top 25
381,American League,1931,5,Wilcy Moore,Saves,10,Boston,Top 25
382,American League,1931,6,Lefty Grove,Shutouts,4,Philadelphia,Top 25
383,American League,1931,7,Lefty Grove,Strikeouts,175,Philadelphia,Top 25
384,American League,1931,8,Lefty Grove,Winning Percentage,.886,Philadelphia,Top 25
385,American League,1932,1,Lefty Grove,Complete Games,27,Philadelphia,Top 25
386,American League,1932,2,Lefty Grove,ERA,2.84,Philadelphia,Top 25
387,American League,1932,3,Firpo Marberry,Games,54,Washington,Top 25
388,American League,1932,4,Firpo Marberry,Saves,13,Washington,Top 25
389,American League,1932,5,Tommy Bridges,Shutouts,4,Detroit,Top 25
