id,league,year,year_id,Division,Games Behind,Payroll,Splits,Strike Splits,Team,Total Loses,Total Ties,Total Wins,Winning Percentage
1,American Association,1882,1,,0,,,,Cincinnati Red Stockings,25,,55,.688
2,American Association,1882,2,,11½,,,,Philadelphia Athletics,34,,41,.547
3,American Association,1882,3,,13,,,,Louisville Eclipse,38,,42,.525
4,American Association,1882,4,,15,,,,Pittsburgh Alleghenys,39,,39,.500
5,American Association,1882,5,,18,,,,St. Louis Brown Stockings,43,,37,.463
6,American Association,1883,1,,0,,,,Philadelphia Athletics,32,,66,.673
7,American Association,1883,2,,1,,,,St. Louis Browns,33,,65,.663
8,American Association,1883,3,,5,,,,Cincinnati Red Stockings,37,,61,.622
9,American Association,1883,4,,11,,,,New York Metropolitans,42,,54,.563
10,American Association,1883,5,,13½,,,,Louisville Eclipse,45,,52,.536
11,American Association,1883,6,,33½,,,,Columbus Colts,65,,32,.330
12,American Association,1883,7,,35,,,,Pittsburgh Alleghenys,67,,31,.316
13,American Association,1884,1,,0,,,,New York Metropolitans,32,,75,.701
14,American Association,1884,2,,6½,,,,Columbus Colts,39,,69,.639
15,American Association,1884,3,,7½,,,,Louisville Colonels,40,,68,.630
16,American Association,1884,4,,8,,,,St. Louis Browns,40,,67,.626
17,American Association,1884,5,,8,,,,Cincinnati Red Stockings,41,,68,.624
18,American Association,1884,6,,11½,,,,Baltimore Orioles,43,,63,.594
19,American Association,1884,7,,14,,,,Philadelphia Athletics,46,,61,.570
20,American Association,1884,8,,27½,,,,Toledo Blue Stockings,58,,46,.442
21,American Association,1884,9,,33½,,,,Brooklyn Trolley Dodgers,64,,40,.385
22,American Association,1884,10,,30½,,,,Richmond Virginias,30,,12,.286
23,American Association,1884,11,,45½,,,,Pittsburgh Alleghenys,78,,30,.278
24,American Association,1884,12,,46,,,,Indianapolis Blues,78,,29,.271
25,American Association,1884,13,,41,,,,Washington Nationals,51,,12,.190
26,American Association,1885,1,,0,,,,St. Louis Browns,33,,79,.705
27,American Association,1885,2,,16,,,,Cincinnati Red Stockings,49,,63,.563
28,American Association,1885,3,,22½,,,,Pittsburgh Alleghenys,55,,56,.505
29,American Association,1885,4,,24,,,,Philadelphia Athletics,57,,55,.491
30,American Association,1885,5,,26,,,,Louisville Colonels,59,,53,.473
31,American Association,1885,6,,26,,,,Brooklyn Trolley Dodgers,59,,53,.473
32,American Association,1885,7,,33,,,,New York Metropolitans,64,,44,.407
33,American Association,1885,8,,36½,,,,Baltimore Orioles,68,,41,.376
34,American Association,1886,1,,0,,,,St. Louis Browns,46,,93,.669
35,American Association,1886,2,,12,,,,Pittsburgh Alleghenys,57,,80,.584
36,American Association,1886,3,,16,,,,Brooklyn Trolley Dodgers,61,,76,.555
37,American Association,1886,4,,25½,,,,Louisville Colonels,70,,66,.485
38,American Association,1886,5,,27½,,,,Cincinnati Red Stockings,73,,65,.471
39,American Association,1886,6,,28,,,,Philadelphia Athletics,72,,63,.467
40,American Association,1886,7,,38,,,,New York Metropolitans,82,,53,.393
41,American Association,1886,8,,41,,,,Baltimore Orioles,83,,48,.366
42,American Association,1887,1,,0,,,,St. Louis Browns,40,,95,.704
43,American Association,1887,2,,14,,,,Cincinnati Red Stockings,54,,81,.600
44,American Association,1887,3,,18,,,,Baltimore Orioles,58,,77,.570
45,American Association,1887,4,,19½,,,,Louisville Colonels,60,,76,.559
46,American Association,1887,5,,30,,,,Philadelphia Athletics,69,,64,.481
47,American Association,1887,6,,34½,,,,Brooklyn Trolley Dodgers,74,,60,.448
48,American Association,1887,7,,50,,,,New York Metropolitans,89,,44,.331
49,American Association,1887,8,,54,,,,Cleveland Blues,92,,39,.298
50,American Association,1888,1,,0,,,,St. Louis Browns,43,2,92,.681
51,American Association,1888,2,,6½,,,,Brooklyn Trolley Dodgers,52,3,88,.629
52,American Association,1888,3,,10,,,,Philadelphia Athletics,52,3,81,.609
53,American Association,1888,4,,11½,,,,Cincinnati Red Stockings,54,3,80,.597
54,American Association,1888,5,,36,,,,Baltimore Orioles,80,0,57,.416
55,American Association,1888,6,,40½,,,,Cleveland Blues,82,3,50,.379
56,American Association,1888,7,,44,,,,Louisville Colonels,87,4,48,.356
57,American Association,1888,8,,47½,,,,Kansas City Cowboys,89,0,43,.326
58,American Association,1889,1,,0,,,,Brooklyn Bridegrooms,44,,93,.679
59,American Association,1889,2,,2,,,,St. Louis Browns,45,,90,.667
60,American Association,1889,3,,16,,,,Philadelphia Athletics,58,,75,.564
61,American Association,1889,4,,18,,,,Cincinnati Red Stockings,63,,76,.547
62,American Association,1889,5,,22,,,,Baltimore Orioles,65,,70,.519
63,American Association,1889,6,,33½,,,,Columbus Colts,78,,60,.435
64,American Association,1889,7,,38,,,,Kansas City Cowboys,82,,55,.401
65,American Association,1889,8,,66½,,,,Louisville Colonels,111,,27,.196
66,American Association,1890,1,,0,,,,Louisville Colonels,44,4,88,.667
67,American Association,1890,2,,10,,,,Columbus Colts,55,6,79,.590
68,American Association,1890,3,,12,,,,St. Louis Browns,58,3,78,.574
69,American Association,1890,4,,20,,,,Toledo Maumees,64,2,68,.515
70,American Association,1890,5,,22,,,,Rochester Rochesters,63,7,63,.500
71,American Association,1890,6,,24,,,,Baltimore Orioles,19,4,15,.441
72,American Association,1890,7,,30½,,,,Syracuse Stars,72,1,55,.433
73,American Association,1891,1,,0,,,,Boston Reds,42,4,93,.689
74,American Association,1891,2,,8½,,,,St. Louis Browns,51,3,85,.623
75,American Association,1891,3,,22½,,,,Milwaukee Brewers,15,0,21,.583
76,American Association,1891,4,,22,,,,Baltimore Orioles,64,4,71,.526
77,American Association,1891,5,,22,,,,Philadelphia Athletics,66,4,73,.525
78,American Association,1891,6,,33,,,,Columbus Colts,76,1,61,.445
79,American Association,1891,7,,32½,,,,Cincinnati Kelly's Killers,57,2,43,.430
80,American League,1901,1,,0,,,,Chicago White Sox,53,,83,.610
81,American League,1901,2,,4,,,,Boston Americans,57,,79,.581
82,American League,1901,3,,8½,,,,Detroit Tigers,61,,74,.548
83,American League,1901,4,,9,,,,Philadelphia Athletics,62,,74,.544
84,American League,1901,5,,13½,,,,Baltimore Orioles,65,,68,.511
85,American League,1901,6,,20½,,,,Washington Senators,72,,61,.459
86,American League,1901,7,,29,,,,Cleveland Blues,82,,54,.397
87,American League,1901,8,,35½,,,,Milwaukee Brewers,89,,48,.350
88,American League,1902,1,,0,,,,Philadelphia Athletics,53,,83,.610
89,American League,1902,2,,5,,,,St. Louis Browns,58,,78,.574
90,American League,1902,3,,6½,,,,Boston Americans,60,,77,.562
91,American League,1902,4,,8,,,,Chicago White Sox,60,,74,.552
92,American League,1902,5,,14,,,,Cleveland Blues,67,,69,.507
93,American League,1902,6,,22,,,,Washington Senators,75,,61,.449
94,American League,1902,7,,30½,,,,Detroit Tigers,83,,52,.385
95,American League,1902,8,,34,,,,Baltimore Orioles,88,,50,.362
96,American League,1903,1,,0,,,,Boston Americans,47,,91,.659
97,American League,1903,2,,14½,,,,Philadelphia Athletics,60,,75,.556
98,American League,1903,3,,15,,,,Cleveland Blues,63,,77,.550
99,American League,1903,4,,17,,,,New York Highlanders,62,,72,.537
100,American League,1903,5,,25,,,,Detroit Tigers,71,,65,.478
101,American League,1903,6,,26½,,,,St. Louis Browns,74,,65,.468
102,American League,1903,7,,30½,,,,Chicago White Sox,77,,60,.438
103,American League,1903,8,,47½,,,,Washington Senators,94,,43,.314
104,American League,1904,1,,0,,,,Boston Americans,59,,95,.617
105,American League,1904,2,,1½,,,,New York Highlanders,59,,92,.609
106,American League,1904,3,,6,,,,Chicago White Sox,65,,89,.578
107,American League,1904,4,,7½,,,,Cleveland Blues,65,,86,.570
108,American League,1904,5,,12½,,,,Philadelphia Athletics,70,,81,.536
109,American League,1904,6,,29,,,,St. Louis Browns,87,,65,.428
110,American League,1904,7,,32,,,,Detroit Tigers,90,,62,.408
111,American League,1904,8,,55½,,,,Washington Senators,113,,38,.252
112,American League,1905,1,,0,,,,Philadelphia Athletics,56,,92,.622
113,American League,1905,2,,2,,,,Chicago White Sox,60,,92,.605
114,American League,1905,3,,15½,,,,Detroit Tigers,74,,79,.516
115,American League,1905,4,,16,,,,Boston Americans,74,,78,.513
116,American League,1905,5,,19,,,,Cleveland Naps,78,,76,.494
117,American League,1905,6,,21½,,,,New York Highlanders,78,,71,.477
118,American League,1906,1,,0,,,,Chicago White Sox,58,,93,.616
119,American League,1906,2,,3,,,,New York Highlanders,61,,90,.596
120,American League,1906,3,,5,,,,Cleveland Naps,64,,89,.582
121,American League,1906,4,,12,,,,Philadelphia Athletics,67,,78,.538
122,American League,1906,5,,16,,,,St. Louis Browns,73,,76,.510
123,American League,1906,6,,21,,,,Detroit Tigers,78,,71,.477
124,American League,1906,7,,37½,,,,Washington Senators,95,,55,.367
125,American League,1906,8,,45½,,,,Boston Americans,105,,49,.318
126,American League,1907,1,,0,,,,Detroit Tigers,58,,92,.613
127,American League,1907,2,,1½,,,,Philadelphia Athletics,57,,88,.607
128,American League,1907,3,,5½,,,,Chicago White Sox,64,,87,.576
129,American League,1907,4,,8,,,,Cleveland Naps,67,,85,.559
130,American League,1907,5,,21,,,,New York Highlanders,78,,70,.473
131,American League,1907,6,,24,,,,St. Louis Browns,83,,69,.454
132,American League,1907,7,,32½,,,,Boston Americans,90,,59,.396
133,American League,1907,8,,43½,,,,Washington Senators,102,,49,.325
134,American League,1908,1,,0,,,,Detroit Tigers,63,,90,.588
135,American League,1908,2,,½,,,,Cleveland Naps,64,,90,.584
136,American League,1908,3,,1½,,,,Chicago White Sox,64,,88,.579
137,American League,1908,4,,6½,,,,St. Louis Browns,69,,83,.546
138,American League,1908,5,,15½,,,,Boston Red Sox,79,,75,.487
139,American League,1908,6,,22,,,,Philadelphia Athletics,85,,68,.444
140,American League,1908,7,,22½,,,,Washington Senators,85,,67,.441
141,American League,1908,8,,39½,,,,New York Highlanders,103,,51,.331
142,American League,1909,1,,0,,,,Detroit Tigers,54,,98,.645
143,American League,1909,2,,3½,,,,Philadelphia Athletics,58,,95,.621
144,American League,1909,3,,9½,,,,Boston Red Sox,63,,88,.583
145,American League,1909,4,,20,,,,Chicago White Sox,74,,78,.513
146,American League,1909,5,,23½,,,,New York Highlanders,77,,74,.490
147,American League,1909,6,,27½,,,,Cleveland Naps,82,,71,.464
148,American League,1909,7,,36,,,,St. Louis Browns,89,,61,.407
149,American League,1909,8,,56,,,,Washington Senators,110,,42,.276
150,American League,1910,1,,0,,,,Philadelphia Athletics,48,,102,.680
151,American League,1910,2,,14½,,,,New York Highlanders,63,,88,.583
152,American League,1910,3,,18,,,,Detroit Tigers,68,,86,.558
153,American League,1910,4,,22½,,,,Boston Red Sox,72,,81,.529
154,American League,1910,5,,32,,,,Cleveland Naps,81,,71,.467
155,American League,1910,6,,35½,,,,Chicago White Sox,85,,68,.444
156,American League,1910,7,,36½,,,,Washington Senators,85,,66,.437
157,American League,1910,8,,57,,,,St. Louis Browns,107,,47,.305
158,American League,1911,1,,0,,,,Philadelphia Athletics,50,,101,.669
159,American League,1911,2,,13½,,,,Detroit Tigers,65,,89,.578
160,American League,1911,3,,22,,,,Cleveland Naps,73,,80,.523
161,American League,1911,4,,24,,,,Chicago White Sox,74,,77,.510
162,American League,1911,5,,24,,,,Boston Red Sox,75,,78,.510
163,American League,1911,6,,25½,,,,New York Highlanders,76,,76,.500
164,American League,1911,7,,38½,,,,Washington Senators,90,,64,.416
165,American League,1911,8,,56½,,,,St. Louis Browns,107,,45,.296
166,American League,1912,1,,0,,,,Boston Red Sox,47,,105,.691
167,American League,1912,2,,14,,,,Washington Senators,61,,91,.599
168,American League,1912,3,,15,,,,Philadelphia Athletics,62,,90,.592
169,American League,1912,4,,28,,,,Chicago White Sox,76,,78,.506
170,American League,1912,5,,30½,,,,Cleveland Naps,78,,75,.490
171,American League,1912,6,,36½,,,,Detroit Tigers,84,,69,.451
172,American League,1912,7,,53,,,,St. Louis Browns,101,,53,.344
173,American League,1912,8,,55,,,,New York Highlanders,102,,50,.329
174,American League,1913,1,,0,,,,Philadelphia Athletics,57,,96,.627
175,American League,1913,2,,6?,,,,Washington Senators,64,,90,.584
176,American League,1913,3,,9?,,,,Cleveland Naps,66,,86,.566
177,American League,1913,4,,15?,,,,Boston Red Sox,71,,79,.527
178,American League,1913,5,,17?,,,,Chicago White Sox,74,,78,.513
179,American League,1913,6,,30,,,,Detroit Tigers,87,,66,.431
180,American League,1913,7,,38,,,,New York Yankees,94,,57,.377
181,American League,1913,8,,39,,,,St. Louis Browns,96,,57,.373
182,American League,1914,1,,0,,,,Philadelphia Athletics,53,,99,.651
183,American League,1914,2,,8½,,,,Boston Red Sox,62,,91,.595
184,American League,1914,3,,19,,,,Washington Senators,73,,81,.526
185,American League,1914,4,,19½,,,,Detroit Tigers,73,,80,.523
186,American League,1914,5,,28½,,,,St. Louis Browns,82,,71,.464
187,American League,1914,6,,30,,,,New York Yankees,84,,70,.455
188,American League,1914,7,,30,,,,Chicago White Sox,84,,70,.455
189,American League,1915,1,,0,,,,Boston Red Sox,50,,101,.669
190,American League,1915,2,,2½,,,,Detroit Tigers,54,,100,.649
191,American League,1915,3,,9½,,,,Chicago White Sox,61,,93,.604
192,American League,1915,4,,17,,,,Washington Senators,68,,85,.556
193,American League,1915,5,,32½,,,,New York Yankees,83,,69,.454
194,American League,1915,6,,39½,,,,St. Louis Browns,91,,63,.409
195,American League,1915,7,,44½,,,,Cleveland Indians,95,,57,.375
196,American League,1916,1,,0,,,,Boston Red Sox,63,,91,.591
197,American League,1916,2,,2,,,,Chicago White Sox,65,,89,.578
198,American League,1916,3,,4,,,,Detroit Tigers,67,,87,.565
199,American League,1916,4,,11,,,,New York Yankees,74,,80,.519
200,American League,1916,5,,12,,,,St. Louis Browns,75,,79,.513
201,American League,1916,6,,14,,,,Cleveland Indians,77,,77,.500
202,American League,1916,7,,14½,,,,Washington Senators,77,,76,.497
203,American League,1917,1,,0,,,,Chicago White Sox,54,,100,.649
204,American League,1917,2,,9,,,,Boston Red Sox,62,,90,.592
205,American League,1917,3,,12,,,,Cleveland Indians,66,,88,.571
206,American League,1917,4,,21½,,,,Detroit Tigers,75,,78,.510
207,American League,1917,5,,25½,,,,Washington Senators,79,,74,.484
208,American League,1917,6,,28½,,,,New York Yankees,82,,71,.464
209,American League,1917,7,,43,,,,St. Louis Browns,97,,57,.370
210,American League,1918,1,,0,,,,Boston Red Sox,51,,75,.595
211,American League,1918,2,,2½,,,,Cleveland Indians,54,,73,.575
212,American League,1918,3,,4,,,,Washington Senators,56,,72,.563
213,American League,1918,4,,13½,,,,New York Yankees,63,,60,.488
214,American League,1918,5,,15,,,,St. Louis Browns,64,,58,.475
215,American League,1918,6,,17,,,,Chicago White Sox,67,,57,.460
216,American League,1918,7,,20,,,,Detroit Tigers,71,,55,.437
217,American League,1918,8,,24,,,,Philadelphia Athletics,76,,52,.406
218,American League,1919,1,,0,,,,Chicago White Sox,52,,88,.629
219,American League,1919,2,,3½,,,,Cleveland Indians,55,,84,.604
220,American League,1919,3,,7½,,,,New York Yankees,59,,80,.576
221,American League,1919,4,,8,,,,Detroit Tigers,60,,80,.571
222,American League,1919,5,,20½,,,,St. Louis Browns,72,,67,.482
223,American League,1919,6,,20½,,,,Boston Red Sox,71,,66,.482
224,American League,1919,7,,32,,,,Washington Senators,84,,56,.400
225,American League,1919,8,,52,,,,Philadelphia Athletics,104,,36,.257
226,American League,1920,1,,0,,,,Cleveland Indians,56,,98,.636
227,American League,1920,2,,2,,,,Chicago White Sox,58,,96,.623
228,American League,1920,3,,3,,,,New York Yankees,59,,95,.617
229,American League,1920,4,,21½,,,,St. Louis Browns,77,,76,.497
230,American League,1920,5,,25½,,,,Boston Red Sox,81,,72,.471
231,American League,1920,6,,29,,,,Washington Senators,84,,68,.447
232,American League,1920,7,,37,,,,Detroit Tigers,93,,61,.396
233,American League,1920,8,,50,,,,Philadelphia Athletics,106,,48,.312
234,American League,1921,1,,0,,,,New York Yankees,55,,98,.641
235,American League,1921,2,,4½,,,,Cleveland Indians,60,,94,.610
236,American League,1921,3,,17½,,,,St. Louis Browns,73,,81,.526
237,American League,1921,4,,18,,,,Washington Senators,73,,80,.523
238,American League,1921,5,,23½,,,,Boston Red Sox,79,,75,.487
239,American League,1921,6,,27,,,,Detroit Tigers,82,,71,.464
240,American League,1921,7,,36½,,,,Chicago White Sox,92,,62,.403
241,American League,1921,8,,45,,,,Philadelphia Athletics,100,,53,.346
242,American League,1922,1,,0,,,,New York Yankees,60,,94,.610
243,American League,1922,2,,1,,,,St. Louis Browns,61,,93,.604
244,American League,1922,3,,15,,,,Detroit Tigers,75,,79,.513
245,American League,1922,4,,16,,,,Cleveland Indians,76,,78,.506
246,American League,1922,5,,17,,,,Chicago White Sox,77,,77,.500
247,American League,1922,6,,25,,,,Washington Senators,85,,69,.448
248,American League,1922,7,,29,,,,Philadelphia Athletics,89,,65,.422
249,American League,1922,8,,33,,,,Boston Red Sox,93,,61,.396
250,American League,1923,1,,0,,,,New York Yankees,54,,98,.610
251,American League,1923,2,,16,,,,Detroit Tigers,71,,83,.539
252,American League,1923,3,,16½,,,,Cleveland Indians,71,,82,.536
253,American League,1923,4,,23½,,,,Washington Senators,78,,75,.490
254,American League,1923,5,,24,,,,St. Louis Browns,78,,74,.487
255,American League,1923,6,,29,,,,Philadelphia Athletics,83,,69,.454
256,American League,1924,1,,0,,,,Washington Senators,62,,92,.597
257,American League,1924,2,,2,,,,New York Yankees,63,,89,.586
258,American League,1924,3,,6,,,,Detroit Tigers,68,,86,.558
259,American League,1924,4,,17,,,,St. Louis Browns,78,,74,.487
260,American League,1924,5,,20,,,,Philadelphia Athletics,81,,71,.467
261,American League,1924,6,,24½,,,,Cleveland Indians,86,,67,.438
262,American League,1925,1,,0,,,,Washington Senators,55,,96,.636
263,American League,1925,2,,8½,,,,Philadelphia Athletics,64,,88,.579
264,American League,1925,3,,15,,,,St. Louis Browns,71,,82,.536
265,American League,1925,4,,16½,,,,Detroit Tigers,73,,81,.526
266,American League,1925,5,,18½,,,,Chicago White Sox,75,,79,.513
267,American League,1925,6,,27½,,,,Cleveland Indians,84,,70,.455
268,American League,1926,1,,0,,,,New York Yankees,63,,91,.591
269,American League,1926,2,,3,,,,Cleveland Indians,66,,88,.571
270,American League,1926,3,,6,,,,Philadelphia Athletics,67,,83,.553
271,American League,1926,4,,8,,,,Washington Senators,69,,81,.540
272,American League,1926,5,,9½,,,,Chicago White Sox,72,,81,.529
273,American League,1926,6,,12,,,,Detroit Tigers,75,,79,.513
274,American League,1927,1,,0,,,,New York Yankees,44,,110,.714
275,American League,1927,2,,19,,,,Philadelphia Athletics,63,,91,.591
276,American League,1927,3,,25,,,,Washington Senators,69,,85,.552
277,American League,1927,4,,27½,,,,Detroit Tigers,71,,82,.536
278,American League,1927,5,,39½,,,,Chicago White Sox,83,,70,.458
279,American League,1927,6,,43½,,,,Cleveland Indians,87,,66,.431
280,American League,1927,7,,50½,,,,St. Louis Browns,94,,59,.386
281,American League,1927,8,,59,,,,Boston Red Sox,103,,51,.331
282,American League,1928,1,,0,,,,New York Yankees,53,0,101,.656
283,American League,1928,2,,2½,,,,Philadelphia Athletics,55,0,98,.641
284,American League,1928,3,,19,,,,St. Louis Browns,72,0,82,.532
285,American League,1928,4,,26,,,,Washington Senators,79,1,75,.487
286,American League,1928,5,,29,,,,Chicago White Sox,82,1,72,.468
287,American League,1928,6,,33,,,,Detroit Tigers,86,0,68,.442
288,American League,1929,1,,0,,,,Philadelphia Athletics,46,,104,.693
289,American League,1929,2,,18,,,,New York Yankees,66,,88,.571
290,American League,1929,3,,24,,,,Cleveland Indians,71,,81,.533
291,American League,1929,4,,26,,,,St. Louis Browns,73,,79,.520
292,American League,1929,5,,34,,,,Washington Senators,81,,71,.467
293,American League,1929,6,,36,,,,Detroit Tigers,84,,70,.455
294,American League,1930,1,,0,,,,Philadelphia Athletics,52,,102,.662
295,American League,1930,2,,8,,,,Washington Senators,60,,94,.610
296,American League,1930,3,,16,,,,New York Yankees,68,,86,.558
297,American League,1930,4,,21,,,,Cleveland Indians,73,,81,.526
298,American League,1930,5,,27,,,,Detroit Tigers,79,,75,.487
299,American League,1930,6,,38,,,,St. Louis Browns,90,,64,.416
300,American League,1931,1,,0,,,,Philadelphia Athletics,45,,107,.704
301,American League,1931,2,,13½,,,,New York Yankees,59,,94,.614
302,American League,1931,3,,16,,,,Washington Senators,62,,92,.597
303,American League,1931,4,,30,,,,Cleveland Indians,76,,78,.506
304,American League,1931,5,,45,,,,St. Louis Browns,91,,63,.409
305,American League,1931,6,,45,,,,Boston Red Sox,90,,62,.408
306,American League,1932,1,,0,,,,New York Yankees,47,,107,.695
307,American League,1932,2,,13,,,,Philadelphia Athletics,60,,94,.610
308,American League,1932,3,,14,,,,Washington Senators,61,,93,.604
309,American League,1932,4,,19,,,,Cleveland Indians,65,,87,.572
310,American League,1932,5,,29½,,,,Detroit Tigers,75,,76,.503
311,American League,1932,6,,44,,,,St. Louis Browns,91,,63,.409
312,American League,1932,7,,56½,,,,Chicago White Sox,102,,49,.325
313,American League,1932,8,,64,,,,Boston Red Sox,111,,43,.279
314,American League,1933,1,,0,,,,Washington Senators,53,,99,.651
315,American League,1933,2,,7,,,,New York Yankees,59,,91,.607
316,American League,1933,3,,19½,,,,Philadelphia Athletics,72,,79,.523
317,American League,1933,4,,23½,,,,Cleveland Indians,76,,75,.497
318,American League,1933,5,,25,,,,Detroit Tigers,79,,75,.487
319,American League,1933,6,,31,,,,Chicago White Sox,83,,67,.447
320,American League,1934,1,,0,,,,Detroit Tigers,53,,101,.656
321,American League,1934,2,,7,,,,New York Yankees,60,,94,.610
322,American League,1934,3,,16,,,,Cleveland Indians,69,,85,.552
323,American League,1934,4,,24,,,,Boston Red Sox,76,,76,.500
324,American League,1934,5,,31,,,,Philadelphia Athletics,82,,68,.453
325,American League,1934,6,,33,,,,St. Louis Browns,85,,67,.441
326,American League,1935,1,,0,,,,Detroit Tigers,58,,93,.616
327,American League,1935,2,,3,,,,New York Yankees,60,,89,.597
328,American League,1935,3,,12,,,,Cleveland Indians,71,,82,.536
329,American League,1935,4,,16,,,,Boston Red Sox,75,,78,.510
330,American League,1935,5,,19½,,,,Chicago White Sox,78,,74,.487
331,American League,1935,6,,27,,,,Washington Senators,86,,67,.438
332,American League,1935,7,,28½,,,,St. Louis Browns,87,,65,.428
333,American League,1935,8,,34,,,,Philadelphia Athletics,91,,58,.389
334,American League,1936,1,,0,,,,New York Yankees,51,,102,.667
335,American League,1936,2,,19½,,,,Detroit Tigers,71,,83,.539
336,American League,1936,3,,20,,,,Chicago White Sox,70,,81,.536
337,American League,1936,4,,20,,,,Washington Senators,71,,82,.536
338,American League,1936,5,,22½,,,,Cleveland Indians,74,,80,.519
339,American League,1936,6,,28½,,,,Boston Red Sox,80,,74,.481
340,American League,1936,7,,44½,,,,St. Louis Browns,95,,57,.375
341,American League,1936,8,,49,,,,Philadelphia Athletics,100,,53,.346
342,American League,1937,1,,0,,,,New York Yankees,52,,102,.662
343,American League,1937,2,,13,,,,Detroit Tigers,65,,89,.578
344,American League,1937,3,,16,,,,Chicago White Sox,68,,86,.558
345,American League,1937,4,,19,,,,Cleveland Indians,71,,83,.539
346,American League,1937,5,,21,,,,Boston Red Sox,72,,80,.526
347,American League,1937,6,,28½,,,,Washington Senators,80,,73,.477
348,American League,1938,1,,0,,,,New York Yankees,53,,99,.651
349,American League,1938,2,,9½,,,,Boston Red Sox,61,,88,.591
350,American League,1938,3,,13,,,,Cleveland Indians,66,,86,.566
351,American League,1938,4,,16,,,,Detroit Tigers,70,,84,.545
352,American League,1938,5,,23½,,,,Washington Senators,76,,75,.497
353,American League,1938,6,,32,,,,Chicago White Sox,83,,65,.439
354,American League,1938,7,,44,,,,St. Louis Browns,97,,55,.362
355,American League,1938,8,,46,,,,Philadelphia Athletics,99,,53,.349
356,American League,1939,1,,0,,,,New York Yankees,45,,106,.702
357,American League,1939,2,,17,,,,Boston Red Sox,62,,89,.589
358,American League,1939,3,,20½,,,,Cleveland Indians,67,,87,.565
359,American League,1939,4,,22½,,,,Chicago White Sox,69,,85,.552
360,American League,1939,5,,26½,,,,Detroit Tigers,73,,81,.526
361,American League,1939,6,,41½,,,,Washington Senators,87,,65,.428
362,American League,1940,1,,0,,,,Detroit Tigers,64,,90,.584
363,American League,1940,2,,1,,,,Cleveland Indians,65,,89,.578
364,American League,1940,3,,2,,,,New York Yankees,66,,88,.571
365,American League,1940,4,,8,,,,Chicago White Sox,72,,82,.532
366,American League,1940,5,,8,,,,Boston Red Sox,72,,82,.532
367,American League,1940,6,,23,,,,St. Louis Browns,87,,67,.435
368,American League,1941,1,,0,,,,New York Yankees,53,,101,.656
369,American League,1941,2,,17,,,,Boston Red Sox,70,,84,.545
370,American League,1941,3,,24,,,,Chicago White Sox,77,,77,.500
371,American League,1941,4,,26,,,,Detroit Tigers,79,,75,.487
372,American League,1941,5,,26,,,,Cleveland Indians,79,,75,.487
373,American League,1941,6,,31,,,,Washington Senators,84,,70,.455
374,American League,1941,7,,31,,,,St. Louis Browns,84,,70,.455
375,American League,1941,8,,37,,,,Philadelphia Athletics,90,,64,.416
376,American League,1942,1,,0,,,,New York Yankees,51,,103,.669
377,American League,1942,2,,9,,,,Boston Red Sox,59,,93,.612
378,American League,1942,3,,19½,,,,St. Louis Browns,69,,82,.543
379,American League,1942,4,,28,,,,Cleveland Indians,79,,75,.487
380,American League,1942,5,,30,,,,Detroit Tigers,81,,73,.474
381,American League,1942,6,,34,,,,Chicago White Sox,82,,66,.446
382,American League,1942,7,,39½,,,,Washington Senators,89,,62,.411
383,American League,1942,8,,48,,,,Philadelphia Athletics,99,,55,.357
384,American League,1943,1,,0,,,,New York Yankees,56,,98,.636
385,American League,1943,2,,13½,,,,Washington Senators,69,,84,.549
386,American League,1943,3,,15½,,,,Cleveland Indians,71,,82,.536
387,American League,1943,4,,16,,,,Chicago White Sox,72,,82,.532
388,American League,1943,5,,20,,,,Detroit Tigers,76,,78,.506
389,American League,1943,6,,25,,,,St. Louis Browns,80,,72,.474
390,American League,1944,1,,0,,,,St. Louis Browns,65,,89,.578
391,American League,1944,2,,1,,,,Detroit Tigers,66,,88,.571
392,American League,1944,3,,6,,,,New York Yankees,71,,83,.539
393,American League,1944,4,,12,,,,Boston Red Sox,77,,77,.500
394,American League,1944,5,,17,,,,Philadelphia Athletics,82,,72,.468
395,American League,1944,6,,17,,,,Cleveland Indians,82,,72,.468
396,American League,1944,7,,18,,,,Chicago White Sox,83,,71,.461
397,American League,1944,8,,25,,,,Washington Senators,90,,64,.416
398,American League,1945,1,,0,,,,Detroit Tigers,65,,88,.575
399,American League,1945,2,,1½,,,,Washington Senators,67,,87,.565
400,American League,1945,3,,6,,,,St. Louis Browns,70,,81,.536
401,American League,1945,4,,6½,,,,New York Yankees,71,,81,.533
402,American League,1945,5,,11,,,,Cleveland Indians,72,,73,.503
403,American League,1945,6,,15,,,,Chicago White Sox,78,,71,.477
404,American League,1945,7,,17½,,,,Boston Red Sox,83,,71,.461
405,American League,1945,8,,34½,,,,Philadelphia Athletics,98,,52,.347
406,American League,1946,1,,0,,,,Boston Red Sox,50,,104,.675
407,American League,1946,2,,12,,,,Detroit Tigers,62,,92,.597
408,American League,1946,3,,17,,,,New York Yankees,67,,87,.565
409,American League,1946,4,,28,,,,Washington Senators,78,,76,.484
410,American League,1946,5,,30,,,,Chicago White Sox,80,,74,.481
411,American League,1946,6,,36,,,,Cleveland Indians,86,,68,.442
412,American League,1947,1,,0,,,,New York Yankees,57,,97,.630
413,American League,1947,2,,12,,,,Detroit Tigers,69,,85,.552
