id,league,year,year_id,Earned Run Average,Statistic,Statistic Value,Team,Total Complete Games,Total Earned Runs,Total Games,Total Hit By Pitch,Total Hits,Total Hits Allowed,Total Home Runs,Total Innings Pitched,Total Loses,Total Runs,Total Sacrifice Hits,Total Save Opportunities,Total Saves,Total Shutouts,Total Strikeouts,Total Walks,Total Wins
414,American League,1944,4,,Fewest Home Runs Allowed,39,Detroit,,,,,,,,,,,,,,,,,
415,American League,1944,5,,Fewest Walks Allowed,390,Philadelphia,,,,,,,,,,,,,,,,,
416,American League,1944,6,,Saves,18,Cleveland,,,,,,,,,,,,,,,,,
417,American League,1944,7,,Shutouts,20,Detroit,,,,,,,,,,,,,,,,,
418,American League,1944,8,,Strikeouts,581,St. Louis,,,,,,,,,,,,,,,,,
419,American League,1945,1,,Complete Games,91,St. Louis,,,,,,,,,,,,,,,,,
420,American League,1945,2,,ERA,2.93,Washington,,,,,,,,,,,,,,,,,
421,American League,1945,3,,Fewest Hits Allowed,"1,269",Cleveland,,,,,,,,,,,,,,,,,
422,American League,1945,4,,Fewest Home Runs Allowed,39,Cleveland,,,,,,,,,,,,,,,,,
423,American League,1945,5,,Fewest Walks Allowed,440,Washington,,,,,,,,,,,,,,,,,
424,American League,1945,6,,Saves,16,Detroit,,,,,,,,,,,,,,,,,
425,American League,1945,7,,Shutouts,19,Detroit,,,,,,,,,,,,,,,,,
426,American League,1945,8,,Shutouts,19,Washington,,,,,,,,,,,,,,,,,
427,American League,1946,1,,Complete Games,94,Detroit,,,,,,,,,,,,,,,,,
428,American League,1946,2,,ERA,3.10,Chicago,,,,,,,,,,,,,,,,,
429,American League,1946,3,,Fewest Hits Allowed,"1,232",New York,,,,,,,,,,,,,,,,,
430,American League,1946,4,,Fewest Home Runs Allowed,66,New York,,,,,,,,,,,,,,,,,
431,American League,1946,5,,Fewest Walks Allowed,497,Detroit,,,,,,,,,,,,,,,,,
432,American League,1946,6,,Saves,20,Boston,,,,,,,,,,,,,,,,,
433,American League,1946,7,,Shutouts,18,Detroit,,,,,,,,,,,,,,,,,
434,American League,1947,1,,Complete Games,77,Detroit,,,,,,,,,,,,,,,,,
435,American League,1947,2,,ERA,3.40,New York,,,,,,,,,,,,,,,,,
436,American League,1947,3,,Fewest Hits Allowed,"1,221",New York,,,,,,,,,,,,,,,,,
437,American League,1947,4,,Fewest Home Runs Allowed,63,Washington,,,,,,,,,,,,,,,,,
438,American League,1947,5,,Fewest Walks Allowed,531,Detroit,,,,,,,,,,,,,,,,,
439,American League,1947,6,,Saves,29,Cleveland,,,,,,,,,,,,,,,,,
440,American League,1947,7,,Shutouts,15,Detroit,,,,,,,,,,,,,,,,,
441,American League,1947,8,,Shutouts,15,Washington,,,,,,,,,,,,,,,,,
442,American League,1948,1,,Complete Games,74,Philadelphia,,,,,,,,,,,,,,,,,
443,American League,1948,2,,ERA,3.23,Cleveland,,,,,,,,,,,,,,,,,
444,American League,1948,3,,Fewest Hits Allowed,"1,246",Cleveland,,,,,,,,,,,,,,,,,
445,American League,1948,4,,Fewest Home Runs Allowed,81,Washington,,,,,,,,,,,,,,,,,
446,American League,1948,5,,Fewest Walks Allowed,589,Detroit,,,,,,,,,,,,,,,,,
447,American League,1948,6,,Saves,30,Cleveland,,,,,,,,,,,,,,,,,
448,American League,1948,7,,Shutouts,26,Cleveland,,,,,,,,,,,,,,,,,
449,American League,1949,1,,Complete Games,85,Philadelphia,,,,,,,,,,,,,,,,,
450,American League,1949,2,,ERA,3.36,Cleveland,,,,,,,,,,,,,,,,,
451,American League,1949,3,,Fewest Hits Allowed,"1,231",New York,,,,,,,,,,,,,,,,,
452,American League,1949,4,,Fewest Home Runs Allowed,79,Washington,,,,,,,,,,,,,,,,,
453,American League,1949,5,,Fewest Walks Allowed,611,Cleveland,,,,,,,,,,,,,,,,,
454,American League,1949,6,,Saves,36,New York,,,,,,,,,,,,,,,,,
455,American League,1949,7,,Shutouts,19,Detroit,,,,,,,,,,,,,,,,,
456,American League,1950,1,,Complete Games,72,Detroit,,,,,,,,,,,,,,,,,
457,American League,1950,2,,ERA,3.76,Cleveland,,,,,,,,,,,,,,,,,
458,American League,1950,3,,Fewest Hits Allowed,"1,289",Cleveland,,,,,,,,,,,,,,,,,
459,American League,1950,4,,Fewest Home Runs Allowed,99,Washington,,,,,,,,,,,,,,,,,
460,American League,1950,5,,Fewest Walks Allowed,553,Detroit,,,,,,,,,,,,,,,,,
461,American League,1950,6,,Saves,31,New York,,,,,,,,,,,,,,,,,
462,American League,1951,1,,Complete Games,76,Cleveland,,,,,,,,,,,,,,,,,
463,American League,1951,2,,ERA,3.39,Cleveland,,,,,,,,,,,,,,,,,
464,American League,1951,3,,Fewest Hits Allowed,"1,287",Cleveland,,,,,,,,,,,,,,,,,
465,American League,1951,4,,Fewest Home Runs Allowed,85,Cleveland,,,,,,,,,,,,,,,,,
466,American League,1951,5,,Fewest Walks Allowed,549,Chicago,,,,,,,,,,,,,,,,,
467,American League,1951,6,,Saves,24,Boston,,,,,,,,,,,,,,,,,
468,American League,1952,1,,Complete Games,80,Cleveland,,,,,,,,,,,,,,,,,
469,American League,1952,2,,ERA,3.15,New York,,,,,,,,,,,,,,,,,
470,American League,1952,3,,Fewest Hits Allowed,"1,240",New York,,,,,,,,,,,,,,,,,
471,American League,1952,4,,Fewest Home Runs Allowed,78,Washington,,,,,,,,,,,,,,,,,
472,American League,1952,5,,Fewest Walks Allowed,526,Philadelphia,,,,,,,,,,,,,,,,,
473,American League,1952,6,,Saves,28,Chicago,,,,,,,,,,,,,,,,,
474,American League,1953,1,,Complete Games,81,Cleveland,,,,,,,,,,,,,,,,,
475,American League,1953,2,,ERA,3.21,New York,,,,,,,,,,,,,,,,,
476,American League,1953,3,,Fewest Hits Allowed,"1,286",New York,,,,,,,,,,,,,,,,,
477,American League,1953,4,,Fewest Home Runs Allowed,92,Boston,,,,,,,,,,,,,,,,,
478,American League,1953,5,,Fewest Home Runs Allowed,92,Cleveland,,,,,,,,,,,,,,,,,
479,American League,1953,6,,Fewest Walks Allowed,478,Washington,,,,,,,,,,,,,,,,,
480,American League,1953,7,,Saves,39,New York,,,,,,,,,,,,,,,,,
481,American League,1954,1,,Complete Games,77,Cleveland,,,,,,,,,,,,,,,,,
482,American League,1954,2,,ERA,2.79,Cleveland,,,,,,,,,,,,,,,,,
483,American League,1954,3,,Fewest Hits Allowed,"1,220",Cleveland,,,,,,,,,,,,,,,,,
484,American League,1954,4,,Fewest Home Runs Allowed,78,Baltimore,,,,,,,,,,,,,,,,,
485,American League,1954,5,,Fewest Walks Allowed,486,Cleveland,,,,,,,,,,,,,,,,,
486,American League,1954,6,,Saves,37,New York,,,,,,,,,,,,,,,,,
487,American League,1955,1,,Complete Games,66,Detroit,,,,,,,,,,,,,,,,,
488,American League,1955,2,,ERA,3.23,New York,,,,,,,,,,,,,,,,,
489,American League,1955,3,,Fewest Hits Allowed,"1,163",New York,,,,,,,,,,,,,,,,,
490,American League,1955,4,,Fewest Home Runs Allowed,99,Washington,,,,,,,,,,,,,,,,,
491,American League,1955,5,,Fewest Walks Allowed,497,Chicago,,,,,,,,,,,,,,,,,
492,American League,1955,6,,Saves,36,Cleveland,,,,,,,,,,,,,,,,,
493,American League,1956,1,,Complete Games,67,Cleveland,,,,,,,,,,,,,,,,,
494,American League,1956,2,,ERA,3.33,Cleveland,,,,,,,,,,,,,,,,,
495,American League,1956,3,,Fewest Hits Allowed,"1,233",Cleveland,,,,,,,,,,,,,,,,,
496,American League,1956,4,,Fewest Home Runs Allowed,99,Baltimore,,,,,,,,,,,,,,,,,
497,American League,1956,5,,Fewest Walks Allowed,524,Chicago,,,,,,,,,,,,,,,,,
498,American League,1956,6,,Saves,35,New York,,,,,,,,,,,,,,,,,
499,American League,1957,1,,Complete Games,59,Chicago,,,,,,,,,,,,,,,,,
500,American League,1957,2,,ERA,3.00,New York,,,,,,,,,,,,,,,,,
501,American League,1957,3,,Fewest Hits Allowed,"1,198",New York,,,,,,,,,,,,,,,,,
502,American League,1957,4,,Fewest Home Runs Allowed,95,Baltimore,,,,,,,,,,,,,,,,,
503,American League,1957,5,,Fewest Walks Allowed,470,Chicago,,,,,,,,,,,,,,,,,
504,American League,1957,6,,Saves,42,New York,,,,,,,,,,,,,,,,,
505,American League,1958,1,,Complete Games,59,Detroit,,,,,,,,,,,,,,,,,
506,American League,1958,2,,ERA,3.22,New York,,,,,,,,,,,,,,,,,
507,American League,1958,3,,Fewest Hits Allowed,"1,201",New York,,,,,,,,,,,,,,,,,
508,American League,1958,4,,Fewest Home Runs Allowed,106,Baltimore,,,,,,,,,,,,,,,,,
509,American League,1958,5,,Fewest Walks Allowed,403,Baltimore,,,,,,,,,,,,,,,,,
510,American League,1958,6,,Saves,33,New York,,,,,,,,,,,,,,,,,
511,American League,1959,1,,Complete Games,58,Cleveland,,,,,,,,,,,,,,,,,
512,American League,1959,2,,ERA,3.29,Chicago,,,,,,,,,,,,,,,,,
513,American League,1959,3,,Fewest Hits Allowed,"1,230",Cleveland,,,,,,,,,,,,,,,,,
514,American League,1959,4,,Fewest Home Runs Allowed,111,Baltimore,,,,,,,,,,,,,,,,,
515,American League,1959,5,,Fewest Walks Allowed,432,Detroit,,,,,,,,,,,,,,,,,
516,American League,1959,6,,Saves,36,Chicago,,,,,,,,,,,,,,,,,
517,American League,1959,7,,Shutouts,15,Baltimore,,,,,,,,,,,,,,,,,
518,American League,1960,1,,Complete Games,48,Baltimore,,,,,,,,,,,,,,,,,
519,American League,1960,2,,ERA,3.52,New York,,,,,,,,,,,,,,,,,
520,American League,1960,3,,Fewest Hits Allowed,"1,222",Baltimore,,,,,,,,,,,,,,,,,
521,American League,1960,4,,Fewest Home Runs Allowed,117,Baltimore,,,,,,,,,,,,,,,,,
522,American League,1960,5,,Fewest Walks Allowed,474,Detroit,,,,,,,,,,,,,,,,,
523,American League,1960,6,,Saves,42,New York,,,,,,,,,,,,,,,,,
524,American League,1961,1,,Complete Games,62,Detroit,,,,,,,,,,,,,,,,,
525,American League,1961,2,,ERA,3.22,Baltimore,,,,,,,,,,,,,,,,,
526,American League,1961,3,,Fewest Hits Allowed,"1,226",Baltimore,,,,,,,,,,,,,,,,,
527,American League,1961,4,,Fewest Home Runs Allowed,109,Baltimore,,,,,,,,,,,,,,,,,
528,American League,1961,5,,Fewest Walks Allowed,469,Detroit,,,,,,,,,,,,,,,,,
529,American League,1961,6,,Saves,39,New York,,,,,,,,,,,,,,,,,
530,American League,1961,7,,Shutouts,21,Baltimore,,,,,,,,,,,,,,,,,
531,American League,1962,1,,Complete Games,53,Minnesota,,,,,,,,,,,,,,,,,
532,American League,1962,2,,ERA,3.70,Baltimore,,,,,,,,,,,,,,,,,
533,American League,1962,3,,Fewest Hits Allowed,"1,373",Baltimore,,,,,,,,,,,,,,,,,
534,American League,1962,4,,Fewest Home Runs Allowed,118,Los Angeles,,,,,,,,,,,,,,,,,
535,American League,1962,5,,Fewest Walks Allowed,493,Minnesota,,,,,,,,,,,,,,,,,
536,American League,1962,6,,Saves,47,Los Angeles,,,,,,,,,,,,,,,,,
537,American League,1963,1,,Complete Games,59,New York,,,,,,,,,,,,,,,,,
538,American League,1963,2,,ERA,2.98,Chicago,,,,,,,,,,,,,,,,,
539,American League,1963,3,,Fewest Hits Allowed,"1,239",New York,,,,,,,,,,,,,,,,,
540,American League,1963,4,,Fewest Home Runs Allowed,100,Chicago,,,,,,,,,,,,,,,,,
541,American League,1963,5,,Fewest Walks Allowed,440,Chicago,,,,,,,,,,,,,,,,,
542,American League,1963,6,,Saves,43,Baltimore,,,,,,,,,,,,,,,,,
543,American League,1964,1,,Complete Games,47,Minnesota,,,,,,,,,,,,,,,,,
544,American League,1964,2,,ERA,2.73,Chicago,,,,,,,,,,,,,,,,,
545,American League,1964,3,,Fewest Hits Allowed,"1,216",Chicago,,,,,,,,,,,,,,,,,
546,American League,1964,4,,Fewest Home Runs Allowed,100,Los Angeles,,,,,,,,,,,,,,,,,
547,American League,1964,5,,Fewest Walks Allowed,401,Chicago,,,,,,,,,,,,,,,,,
548,American League,1964,6,,Saves,45,Chicago,,,,,,,,,,,,,,,,,
549,American League,1964,7,,Saves,45,New York,,,,,,,,,,,,,,,,,
550,American League,1965,1,,Complete Games,45,Detroit,,,,,,,,,,,,,,,,,
551,American League,1965,2,,ERA,2.98,Baltimore,,,,,,,,,,,,,,,,,
552,American League,1965,3,,Fewest Hits Allowed,"1,254",Cleveland,,,,,,,,,,,,,,,,,
553,American League,1965,4,,Fewest Home Runs Allowed,91,California,,,,,,,,,,,,,,,,,
554,American League,1965,5,,Fewest Walks Allowed,460,Chicago,,,,,,,,,,,,,,,,,
555,American League,1965,6,,Saves,53,Chicago,,,,,,,,,,,,,,,,,
556,American League,1965,7,,Shutouts,15,Baltimore,,,,,,,,,,,,,,,,,
557,American League,1966,1,,Complete Games,52,Minnesota,,,,,,,,,,,,,,,,,
558,American League,1966,2,,ERA,2.69,Chicago,,,,,,,,,,,,,,,,,
559,American League,1966,3,,Fewest Hits Allowed,"1,229",Chicago,,,,,,,,,,,,,,,,,
560,American League,1966,4,,Fewest Home Runs Allowed,101,Chicago,,,,,,,,,,,,,,,,,
561,American League,1966,5,,Fewest Walks Allowed,392,Minnesota,,,,,,,,,,,,,,,,,
562,American League,1966,6,,Saves,51,Baltimore,,,,,,,,,,,,,,,,,
563,American League,1966,7,,Shutouts,22,Chicago,,,,,,,,,,,,,,,,,
564,American League,1966,8,,Strikeouts,"1,111",Cleveland,,,,,,,,,,,,,,,,,
565,American League,1967,1,,Complete Games,58,Minnesota,,,,,,,,,,,,,,,,,
566,American League,1967,2,,ERA,2.45,Chicago,,,,,,,,,,,,,,,,,
567,American League,1967,3,,Fewest Hits Allowed,"1,197",Chicago,,,,,,,,,,,,,,,,,
568,American League,1967,4,,Fewest Home Runs Allowed,87,Chicago,,,,,,,,,,,,,,,,,
569,American League,1967,5,,Fewest Walks Allowed,396,Minnesota,,,,,,,,,,,,,,,,,
570,American League,1967,6,,Saves,46,California,,,,,,,,,,,,,,,,,
571,American League,1967,7,,Shutouts,24,Chicago,,,,,,,,,,,,,,,,,
572,American League,1968,1,,Complete Games,59,Detroit,,,,,,,,,,,,,,,,,
573,American League,1968,2,,ERA,2.66,Cleveland,,,,,,,,,,,,,,,,,
574,American League,1968,3,,Fewest Hits Allowed,"1,087",Cleveland,,,,,,,,,,,,,,,,,
575,American League,1968,4,,Fewest Home Runs Allowed,92,Minnesota,,,,,,,,,,,,,,,,,
576,American League,1968,5,,Fewest Walks Allowed,414,Minnesota,,,,,,,,,,,,,,,,,
577,American League,1968,6,,Saves,40,Chicago,,,,,,,,,,,,,,,,,
578,American League,1969,1,,Complete Games,55,Detroit,,,,,,,,,,,,,,,,,
579,American League,1969,2,,ERA,2.83,Baltimore,,,,,,,,,,,,,,,,,
580,American League,1969,3,,Fewest Hits Allowed,"1,194",Baltimore,,,,,,,,,,,,,,,,,
581,American League,1969,4,,Fewest Home Runs Allowed,117,Baltimore,,,,,,,,,,,,,,,,,
582,American League,1969,5,,Fewest Walks Allowed,498,Baltimore,,,,,,,,,,,,,,,,,
583,American League,1969,6,,Saves,43,Minnesota,,,,,,,,,,,,,,,,,
584,American League,1969,7,,Shutouts,20,Baltimore,,,,,,,,,,,,,,,,,
585,American League,1970,1,,Complete Games,60,Baltimore,,,,,,,,,,,,,,,,,
586,American League,1970,2,,ERA,3.15,Baltimore,,,,,,,,,,,,,,,,,
587,American League,1970,3,,Fewest Hits Allowed,"1,253",Oakland,,,,,,,,,,,,,,,,,
588,American League,1970,4,,Fewest Home Runs Allowed,130,Minnesota,,,,,,,,,,,,,,,,,
589,American League,1970,5,,Fewest Home Runs Allowed,130,New York,,,,,,,,,,,,,,,,,
590,American League,1970,6,,Fewest Walks Allowed,451,New York,,,,,,,,,,,,,,,,,
591,American League,1970,7,,Saves,58,Minnesota,,,,,,,,,,,,,,,,,
592,American League,1971,1,,Complete Games,71,Baltimore,,,,,,,,,,,,,,,,,
593,American League,1971,2,,ERA,2.99,Baltimore,,,,,,,,,,,,,,,,,
594,American League,1971,3,,Fewest Hits Allowed,"1,299",Oakland,,,,,,,,,,,,,,,,,
595,American League,1971,4,,Fewest Home Runs Allowed,84,Kansas City,,,,,,,,,,,,,,,,,
596,American League,1971,5,,Fewest Walks Allowed,416,Baltimore,,,,,,,,,,,,,,,,,
597,American League,1971,6,,Saves,44,Kansas City,,,,,,,,,,,,,,,,,
598,American League,1971,7,,Shutouts,23,Milwaukee,,,,,,,,,,,,,,,,,
599,American League,1972,1,,Complete Games,62,Baltimore,,,,,,,,,,,,,,,,,
600,American League,1972,2,,ERA,2.53,Baltimore,,,,,,,,,,,,,,,,,
601,American League,1972,3,,Fewest Hits Allowed,"1,109",California,,,,,,,,,,,,,,,,,
602,American League,1972,4,,Fewest Home Runs Allowed,85,Baltimore,,,,,,,,,,,,,,,,,
603,American League,1972,5,,Fewest Home Runs Allowed,85,Kansas City,,,,,,,,,,,,,,,,,
604,American League,1972,6,,Fewest Walks Allowed,395,Baltimore,,,,,,,,,,,,,,,,,
605,American League,1972,7,,Saves,43,Oakland,,,,,,,,,,,,,,,,,
606,American League,1973,1,,Complete Games,72,California,,,,,,,,,,,,,,,,,
607,American League,1973,2,,ERA,3.07,Baltimore,,,,,,,,,,,,,,,,,
608,American League,1973,3,,Fewest Hits Allowed,"1,297",Baltimore,,,,,,,,,,,,,,,,,
609,American League,1973,4,,Fewest Home Runs Allowed,104,California,,,,,,,,,,,,,,,,,
610,American League,1973,5,,Fewest Walks Allowed,457,New York,,,,,,,,,,,,,,,,,
611,American League,1973,6,,Saves,46,Detroit,,,,,,,,,,,,,,,,,
612,American League,1974,1,,Complete Games,71,Boston,,,,,,,,,,,,,,,,,
613,American League,1974,2,,ERA,2.96,Oakland,,,,,,,,,,,,,,,,,
614,American League,1974,3,,Fewest Hits Allowed,"1,322",Oakland,,,,,,,,,,,,,,,,,
615,American League,1974,4,,Fewest Home Runs Allowed,90,Oakland,,,,,,,,,,,,,,,,,
616,American League,1974,5,,Fewest Walks Allowed,430,Oakland,,,,,,,,,,,,,,,,,
617,American League,1974,6,,Saves,29,Chicago,,,,,,,,,,,,,,,,,
618,American League,1974,7,,Saves,29,Minnesota,,,,,,,,,,,,,,,,,
619,American League,1974,8,,Shutouts,16,Baltimore,,,,,,,,,,,,,,,,,
620,American League,1975,1,,Complete Games,70,Baltimore,,,,,,,,,,,,,,,,,
621,American League,1975,2,,Complete Games,70,New York,,,,,,,,,,,,,,,,,
622,American League,1975,3,,ERA,3.17,Baltimore,,,,,,,,,,,,,,,,,
623,American League,1975,4,,Fewest Hits Allowed,"1,267",Oakland,,,,,,,,,,,,,,,,,
624,American League,1975,5,,Fewest Home Runs Allowed,102,Oakland,,,,,,,,,,,,,,,,,
625,American League,1975,6,,Fewest Walks Allowed,490,Boston,,,,,,,,,,,,,,,,,
626,American League,1975,7,,Saves,44,Oakland,,,,,,,,,,,,,,,,,
627,American League,1975,8,,Shutouts,19,Baltimore,,,,,,,,,,,,,,,,,
628,American League,1976,1,,Complete Games,64,California,,,,,,,,,,,,,,,,,
629,American League,1976,2,,ERA,3.20,New York,,,,,,,,,,,,,,,,,
630,American League,1976,3,,Fewest Hits Allowed,"1,300",New York,,,,,,,,,,,,,,,,,
631,American League,1976,4,,Fewest Home Runs Allowed,90,Baltimore,,,,,,,,,,,,,,,,,
632,American League,1976,5,,Fewest Home Runs Allowed,90,Cleveland,,,,,,,,,,,,,,,,,
633,American League,1976,6,,Fewest Walks Allowed,409,Boston,,,,,,,,,,,,,,,,,
634,American League,1976,7,,Saves,46,Cleveland,,,,,,,,,,,,,,,,,
635,American League,1977,1,,Complete Games,65,Baltimore,,,,,,,,,,,,,,,,,
636,American League,1977,2,,ERA,3.52,Kansas City,,,,,,,,,,,,,,,,,
637,American League,1977,3,,Fewest Hits Allowed,"1,377",Kansas City,,,,,,,,,,,,,,,,,
638,American League,1977,4,,Fewest Home Runs Allowed,110,Kansas City,,,,,,,,,,,,,,,,,
639,American League,1977,5,,Fewest Walks Allowed,378,Boston,,,,,,,,,,,,,,,,,
640,American League,1977,6,,Saves,42,Kansas City,,,,,,,,,,,,,,,,,
641,American League,1978,1,,Complete Games,65,Baltimore,,,,,,,,,,,,,,,,,
642,American League,1978,2,,ERA,3.18,New York,,,,,,,,,,,,,,,,,
643,American League,1978,3,,Fewest Hits Allowed,"1,321",New York,,,,,,,,,,,,,,,,,
644,American League,1978,4,,Fewest Home Runs Allowed,100,Cleveland,,,,,,,,,,,,,,,,,
645,American League,1978,5,,Fewest Walks Allowed,398,Milwaukee,,,,,,,,,,,,,,,,,
646,American League,1978,6,,Saves,36,New York,,,,,,,,,,,,,,,,,
647,American League,1978,7,,Shutouts,19,Milwaukee,,,,,,,,,,,,,,,,,
648,American League,1979,1,,Complete Games,61,Milwaukee,,,,,,,,,,,,,,,,,
649,American League,1979,2,,ERA,3.26,Baltimore,,,,,,,,,,,,,,,,,
650,American League,1979,3,,Fewest Hits Allowed,"1,279",Baltimore,,,,,,,,,,,,,,,,,
651,American League,1979,4,,Fewest Home Runs Allowed,114,Chicago,,,,,,,,,,,,,,,,,
652,American League,1979,5,,Fewest Walks Allowed,381,Milwaukee,,,,,,,,,,,,,,,,,
653,American League,1979,6,,Saves,42,Texas,,,,,,,,,,,,,,,,,
654,American League,1979,7,,Shutouts,12,Baltimore,,,,,,,,,,,,,,,,,
655,American League,1980,1,,Complete Games,94,Oakland,,,,,,,,,,,,,,,,,
656,American League,1980,2,,ERA,3.46,Oakland,,,,,,,,,,,,,,,,,
657,American League,1980,3,,Fewest Hits Allowed,"1,347",Oakland,,,,,,,,,,,,,,,,,
658,American League,1980,4,,Fewest Home Runs Allowed,102,New York,,,,,,,,,,,,,,,,,
659,American League,1980,5,,Fewest Walks Allowed,420,Milwaukee,,,,,,,,,,,,,,,,,
660,American League,1980,6,,Saves,50,New York,,,,,,,,,,,,,,,,,
661,American League,1981,1,,Complete Games,60,Oakland,,,,,,,,,,,,,,,,,
662,American League,1981,2,,ERA,2.90,New York,,,,,,,,,,,,,,,,,
663,American League,1981,3,,Fewest Hits Allowed,827,New York,,,,,,,,,,,,,,,,,
664,American League,1981,4,,Fewest Home Runs Allowed,64,New York,,,,,,,,,,,,,,,,,
665,American League,1981,5,,Fewest Walks Allowed,273,Kansas City,,,,,,,,,,,,,,,,,
666,American League,1981,6,,Saves,35,Milwaukee,,,,,,,,,,,,,,,,,
667,American League,1981,7,,Shutouts,13,Detroit,,,,,,,,,,,,,,,,,
668,American League,1981,8,,Shutouts,13,New York,,,,,,,,,,,,,,,,,
669,American League,1982,1,,Complete Games,45,Detroit,,,,,,,,,,,,,,,,,
670,American League,1982,2,,ERA,3.80,Detroit,,,,,,,,,,,,,,,,,
671,American League,1982,3,,Fewest Hits Allowed,"1,371",Detroit,,,,,,,,,,,,,,,,,
672,American League,1982,4,,Fewest Home Runs Allowed,99,Chicago,,,,,,,,,,,,,,,,,
673,American League,1982,5,,Fewest Walks Allowed,460,Chicago,,,,,,,,,,,,,,,,,
674,American League,1982,6,,Saves,47,Milwaukee,,,,,,,,,,,,,,,,,
675,American League,1983,1,,Complete Games,47,New York,,,,,,,,,,,,,,,,,
676,American League,1983,2,,ERA,3.31,Texas,,,,,,,,,,,,,,,,,
677,American League,1983,3,,Fewest Hits Allowed,"1,318",Detroit,,,,,,,,,,,,,,,,,
678,American League,1983,4,,Fewest Home Runs Allowed,97,Texas,,,,,,,,,,,,,,,,,
679,American League,1983,5,,Fewest Walks Allowed,447,Chicago,,,,,,,,,,,,,,,,,
680,American League,1983,6,,Saves,49,Kansas City,,,,,,,,,,,,,,,,,
681,American League,1984,1,,Complete Games,48,Baltimore,,,,,,,,,,,,,,,,,
682,American League,1984,2,,ERA,3.49,Detroit,,,,,,,,,,,,,,,,,
683,American League,1984,3,,Fewest Hits Allowed,"1,358",Detroit,,,,,,,,,,,,,,,,,
684,American League,1984,4,,Fewest Home Runs Allowed,120,New York,,,,,,,,,,,,,,,,,
685,American League,1984,5,,Fewest Walks Allowed,433,Kansas City,,,,,,,,,,,,,,,,,
686,American League,1984,6,,Saves,51,Detroit,,,,,,,,,,,,,,,,,
687,American League,1985,1,,Complete Games,41,Minnesota,,,,,,,,,,,,,,,,,
688,American League,1985,2,,ERA,3.31,Toronto,,,,,,,,,,,,,,,,,
689,American League,1985,3,,Fewest Hits Allowed,"1,312",Toronto,,,,,,,,,,,,,,,,,
690,American League,1985,4,,Fewest Home Runs Allowed,103,Kansas City,,,,,,,,,,,,,,,,,
691,American League,1985,5,,Fewest Walks Allowed,462,Minnesota,,,,,,,,,,,,,,,,,
692,American League,1985,6,,Saves,49,New York,,,,,,,,,,,,,,,,,
693,American League,1985,7,,Shutouts,11,Detroit,,,,,,,,,,,,,,,,,
694,American League,1986,1,,Complete Games,39,Minnesota,,,,,,,,,,,,,,,,,
695,American League,1986,2,,ERA,3.82,Kansas City,,,,,,,,,,,,,,,,,
696,American League,1986,3,,Fewest Hits Allowed,"1,334",Oakland,,,,,,,,,,,,,,,,,
697,American League,1986,4,,Fewest Home Runs Allowed,121,Kansas City,,,,,,,,,,,,,,,,,
698,American League,1986,5,,Fewest Walks Allowed,474,Boston,,,,,,,,,,,,,,,,,
699,American League,1986,6,,Saves,58,New York,,,,,,,,,,,,,,,,,
700,American League,1986,7,,Shutouts,13,Kansas City,,,,,,,,,,,,,,,,,
701,American League,1987,1,,Complete Games,47,Boston,,,,,,,,,,,,,,,,,
702,American League,1987,2,,ERA,3.74,Toronto,,,,,,,,,,,,,,,,,
703,American League,1987,3,,Fewest Hits Allowed,"1,323",Toronto,,,,,,,,,,,,,,,,,
704,American League,1987,4,,Fewest Home Runs Allowed,128,Kansas City,,,,,,,,,,,,,,,,,
705,American League,1987,5,,Fewest Walks Allowed,497,Seattle,,,,,,,,,,,,,,,,,
706,American League,1987,6,,Saves,47,New York,,,,,,,,,,,,,,,,,
707,American League,1987,7,,Shutouts,13,Boston,,,,,,,,,,,,,,,,,
708,American League,1988,1,,Complete Games,41,Texas,,,,,,,,,,,,,,,,,
709,American League,1988,2,,ERA,3.44,Oakland,,,,,,,,,,,,,,,,,
710,American League,1988,3,,Fewest Hits Allowed,"1,310",Texas,,,,,,,,,,,,,,,,,
711,American League,1988,4,,Fewest Home Runs Allowed,102,Kansas City,,,,,,,,,,,,,,,,,
712,American League,1988,5,,Fewest Walks Allowed,437,Milwaukee,,,,,,,,,,,,,,,,,
713,American League,1988,6,,Saves,64,Oakland,,,,,,,,,,,,,,,,,
714,American League,1988,7,,Shutouts,17,Toronto,,,,,,,,,,,,,,,,,
715,American League,1989,1,,Complete Games,32,California,,,,,,,,,,,,,,,,,
716,American League,1989,2,,ERA,3.09,Oakland,,,,,,,,,,,,,,,,,
717,American League,1989,3,,Fewest Hits Allowed,"1,279",Texas,,,,,,,,,,,,,,,,,
718,American League,1989,4,,Fewest Home Runs Allowed,86,Kansas City,,,,,,,,,,,,,,,,,
719,American League,1989,5,,Fewest Walks Allowed,452,Cleveland,,,,,,,,,,,,,,,,,
720,American League,1989,6,,Saves,57,Oakland,,,,,,,,,,,,,,,,,
721,American League,1989,7,,Shutouts,20,California,,,,,,,,,,,,,,,,,
722,American League,1989,8,,Shutouts,20,Oakland,,,,,,,,,,,,,,,,,
723,American League,1990,1,,Complete Games,25,Texas,,,,,,,,,,,,,,,,,
724,American League,1990,2,,ERA,3.18,Oakland,,,,,,,,,,,,,,,,,
725,American League,1990,3,,Fewest Hits Allowed,"1,287",Oakland,,,,,,,,,,,,,,,,,
